name,pos,prediction,confidence_score
Matt Targett,DEF,2:return,0.613
Dan Burn,DEF,2:return,0.595
Matt Ritchie,DEF,1:no,0.999
Jamaal Lascelles,DEF,1:no,0.999
Paul Dummett,DEF,1:no,0.999
Javier Manquillo,DEF,1:no,0.999
Emil Krafth,DEF,1:no,0.729
Fabian Schär,DEF,2:return,0.578
Federico Fernández,DEF,1:no,0.999
Brandon Williams,DEF,1:no,0.87
Grant Hanley,DEF,1:no,0.625
Sam Byram,DEF,1:no,0.683
Christoph Zimmermann,DEF,1:no,0.999
Max Aarons,DEF,1:no,0.983
Ben Gibson,DEF,1:no,0.815
Dimitris Giannoulis,DEF,1:no,0.815
Jack Stephens,DEF,1:no,1
Kyle Walker-Peters,DEF,1:no,0.687
Jan Bednarek,DEF,1:no,0.603
Mohammed Salisu,DEF,1:no,0.918
Romain Perraud,DEF,1:no,0.808
Tino Livramento,DEF,1:no,0.942
Yan Valery,DEF,1:no,0.862
Eric Dier,DEF,1:no,0.75
Ben Davies,DEF,1:no,0.503
Davinson Sánchez,DEF,1:no,0.999
Ryan Sessegnon,DEF,1:no,0.999
Sergio Reguilón,DEF,1:no,0.737
Joe Rodon,DEF,1:no,0.999
Cristian Romero,DEF,1:no,0.758
Emerson Aparecido Leite de Souza Junior,DEF,2:return,0.509
Craig Cathcart,DEF,1:no,1
Francisco Femenía Far,DEF,1:no,0.913
Christian Kabasele,DEF,1:no,0.945
Adam Masina,DEF,1:no,1
Jeremy Ngakia,DEF,1:no,1
Hassane Kamara,DEF,1:no,0.926
Samir Caetano de Souza Santos,DEF,1:no,0.941
Aaron Cresswell,DEF,1:no,0.61
Craig Dawson,DEF,1:no,0.87
Ryan Fredericks,DEF,1:no,0.959
Arthur Masuaku,DEF,1:no,1
Vladimir Coufal,DEF,1:no,0.959
Ben Johnson,DEF,1:no,0.861
Harrison Ashby,DEF,1:no,1
Willy Boly,DEF,1:no,0.859
Conor Coady,DEF,1:no,0.678
Romain Saïss,DEF,1:no,0.92
Fernando Marçal,DEF,1:no,0.593
Jonathan Castro Otto,DEF,2:return,0.766
Nélson Cabral Semedo,DEF,1:no,0.999
Max Kilman,DEF,1:no,0.859
Rayan Ait Nouri,DEF,1:no,0.982
Toti António Gomes,DEF,1:no,0.999
Granit Xhaka,MID,1:no,0.934
Mohamed Naser El Sayed Elneny,MID,1:no,1
Nicolas Pépé,MID,1:no,0.997
Emile Smith Rowe,MID,1:no,0.533
Bukayo Saka,MID,2:return,0.979
Gabriel Teodoro Martinelli Silva,MID,1:no,0.96
Albert Sambi Lokonga,MID,1:no,0.999
Martin Ødegaard,MID,1:no,0.67
John McGinn,MID,1:no,0.82
Marvelous Nakamba,MID,1:no,1
Emiliano Buendía Stati,MID,1:no,0.958
Douglas Luiz Soares de Paulo,MID,1:no,0.996
