influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
8.8,26.9,6,4.2,FALSE,0,0.028565731,1.72338,5,0.5,2
2.4,22.1,6,3.1,TRUE,0,0.077831678,0.738826,10,0.5,2
13.6,15.2,39,6.8,FALSE,0.112012528,0.04275687,1.03178,8,4.25,1
4.2,13.4,30,4.8,FALSE,0.150253326,0,0.572528,7,5.5,2
7,20.3,30,5.7,FALSE,0.082522079,0.045693722,0.464555,3,2.5,2
16,0.1,83,9.9,FALSE,0.334402889,0,1.86443,8,3.75,4
2.6,1.8,36,4,TRUE,0.26913327,0,1.08731,2,2.25,2
1.4,2,22,2.5,TRUE,0.174032614,0,0.949561,7,1.25,2
18.4,12.3,4,3.5,FALSE,0,0.369278759,2.52702,9,10,5
1.6,12.8,6,2,FALSE,0,0.016237158,2.49923,7,1,2
8.8,16.4,36,6.1,FALSE,0.683265567,0.050339982,0.958825,1,7.5,5
80.2,20.7,77,17.8,TRUE,0.434731007,0.126117304,1.60482,3,2,14
14,13.1,48,7.5,TRUE,0.423556,0.057649504,1.12391,10,6,2
31.2,7.3,79,11.8,FALSE,0.669380665,0,0.32099,6,1.25,6
0.6,2.1,26,2.9,FALSE,0.037704989,0,0.228009,1,7.25,2
0,22.4,32,5.4,FALSE,0.363121599,0.05808812,1.82995,3,1.5,2
5.2,35.6,11,5.2,TRUE,0.153474018,0.056028392,1.60667,4,3.25,2
13.4,23.4,7,4.4,TRUE,0.021077693,0.047945995,2.66472,9,8.25,2
10,8.8,39,5.8,TRUE,0.794894874,0,1.0666,10,4.75,2
36.4,21.8,47,10.5,FALSE,0.571740687,0.055202421,0.760046,3,2.25,7
46.4,0.7,60,10.7,FALSE,1.200559139,0,1.66308,2,2.5,8
0,16,119,13.4,TRUE,1.228986263,0.024215916,0.837361,1,2.75,2
34.8,24.3,57,11.6,TRUE,1.112522125,0.134014577,0.50484,1,6.5,6
0,25.3,10,3.4,TRUE,0.061782423,0.097218141,1.98688,8,1.5,2
74.4,18.3,95,18.8,FALSE,0.976087213,0.031293266,2.75981,7,3.25,13
10,13.2,3,2.6,FALSE,0.025316851,0.015051596,1.06276,7,6,2
8.6,37.1,60,10.6,FALSE,0.138622612,0.112046808,1.88587,2,4.75,2
2.2,1.8,14,1.8,TRUE,0.102443345,0,0.800222,10,4,2
3.4,11.1,4,1.9,FALSE,0,0.037500814,0.720883,4,3,2
8.2,5,2,1.5,FALSE,0,0,2.38009,9,7.5,1
0,3.2,16,1.8,FALSE,0.18433471,0,0.693376,3,2,2
7.4,11,26,4.4,TRUE,0.056478206,0.043718915,2.953,9,5.75,2
8.2,14.4,94,11.7,TRUE,0.108448654,0.016735764,0.769974,6,6,2
11,19.2,43,7.3,TRUE,0.413102716,0.105469972,0.622104,10,4.75,6
0,0.7,14,0.9,FALSE,0.018490216,0,1.59037,2,4,-1
6.6,17,77,10.1,TRUE,0.40011701,0.046152156,0.82885,1,3,2
78,25.9,79,18.3,TRUE,0.897109389,0.134959877,0.789939,9,2,13
36,13.8,29,7.9,FALSE,0.794947863,0.018425602,1.6124,6,6,7
9.8,40,20,7,FALSE,0,0.152359396,1.54732,5,6,2
1.8,6.8,23,3.2,TRUE,0.030687409,0,2.01134,10,1.5,2
11.4,11.8,52,7.5,TRUE,0.164680049,0,0.816172,6,3,2
0,16,32,4.5,FALSE,0.348392725,0.025776634,0.3746,6,3,1
17,26.9,18,6.2,TRUE,0,0.474417895,1.1216,2,4.75,5
58.2,40.8,84,18.3,TRUE,0.72341156,0.260843277,0.729203,8,3,12
1.8,2.3,26,3,TRUE,0.212225229,0,0.337194,4,3.5,2
2.8,12,23,3.8,FALSE,0.083595656,0.031742033,3.68186,6,1.75,2
29.8,2.3,42,7.4,FALSE,0.546642661,0,0.966335,9,2.25,8
118.4,17.4,79,21.5,TRUE,1.855553865,0.120930612,1.25315,5,7.75,18
41.6,17.8,91,15,FALSE,0.359924316,0.051806249,3.68186,6,1.5,8
40,47.1,99,18.6,TRUE,0.852446616,0.564309657,2.17004,5,1,5
0,0.6,17,1.5,TRUE,0.057100322,0,0.190648,2,1.75,2
3.6,26.5,15,4.5,FALSE,0.448178291,0.035098292,2.11737,6,2,2
41.8,38,52,13.2,TRUE,0.27067557,0.431864768,0.37687,3,9,8
10.8,39,27,7.7,TRUE,0.161595002,0.551556826,2.17004,5,3,5
32,18.3,63,11.3,TRUE,1.063059807,0.108463518,1.94116,9,3.75,6
0,29.9,26,5.5,TRUE,0.185201049,0.242605776,0.974014,6,1.75,2
36.4,5,38,7.9,TRUE,0.362938762,0,0.32818,3,7.75,8
38.8,23.8,37,10,FALSE,0.144747511,0.414292604,2.659,4,10.5,9
40.6,2.1,39,8.2,FALSE,0.565916657,0,3.21624,9,3.75,7
11,12.8,38,6.2,TRUE,0.176885992,0.017187407,2.03271,8,0,1
11.6,59.5,24,9.5,FALSE,0.091602236,0.674660921,0.590511,10,4.5,5
35.2,8.2,41,8.4,FALSE,0.557892442,0,0.778704,2,2.25,6
1.6,32.8,54,8.8,TRUE,0.189447984,0.050157968,0.200297,6,4,3
13.8,37,59,11,TRUE,0.143798873,0.11601083,2.36346,10,2.5,1
53.6,24.2,30,10.8,FALSE,0.834582567,0.120185405,3.16805,10,1.75,10
0,1.7,26,2.7,TRUE,0.06437248,0,0.748206,1,1,2
47,27.4,63,13.7,FALSE,0.595041633,0.079128839,0.738497,8,4.25,7
43.4,33.4,96,17.3,FALSE,1.11791563,0.167626917,3.34327,7,3.75,5
40.6,24.3,45,11,TRUE,1.148192167,0.047588006,1.31233,6,3,7
6.6,26.4,35,6.8,FALSE,0.083063222,0.070369512,0.691991,2,2.75,1
42.2,5.8,46,9.4,TRUE,0.200952351,0,0.7012,1,7.75,9
38.4,1,23,6.2,FALSE,0.507268667,0,2.17263,9,9.5,7
33,53.8,35,12.2,TRUE,0.063478999,0.594709039,1.31233,6,3.5,5
41.4,18.5,89,14.9,FALSE,0.835978627,0.019359883,1.36933,10,4.25,8
6.6,15,83,10.5,TRUE,1.010630012,0.440481246,1.73055,4,1,2
1.4,12.9,16,3,FALSE,0.106698371,0.097172476,0.684683,1,1,1
0,14.6,67,8.1,TRUE,0.449680567,0.076829679,0.44226,8,4.75,2
29.2,7.6,19,5.6,FALSE,0.481504053,0,2.64597,7,2.5,6
9.8,13,10,3.3,FALSE,0,0,1.20573,5,2,2
45,19.6,13,7.8,TRUE,0.048080441,0.016382921,1.52126,10,6.75,9
37.2,53.5,46,13.7,TRUE,0.805240989,0.344880164,0.358364,2,5.75,9
0,3.8,8,0.6,FALSE,0.40371871,0,2.01721,6,1.25,2
9.6,17.3,20,4.7,FALSE,0.028464651,0.156228736,1.14121,1,2,5
50.6,11.6,119,18.1,TRUE,0.926941097,0.0544894,0.467725,5,4.75,6
38.2,4.9,27,7,FALSE,0.155378193,0,1.67894,4,7.25,9
5.4,1.3,7,1.4,FALSE,0.021577293,0,3.28588,10,7,2
4,20.8,37,6.2,FALSE,0.279197037,0.096374944,1.72075,1,1.75,2
58.2,64.3,45,16.8,FALSE,0.482514143,0.518473208,0.590375,6,5,11
3.4,3.1,22,2.9,TRUE,0.009983656,0,1.21741,4,4,2
24.4,13.6,72,11,FALSE,0.206615329,0.019564508,0.321722,4,3.25,4
6.4,1.6,25,3.3,FALSE,0.176660329,0,0.410203,8,7.5,2
29.2,18.9,36,8.4,TRUE,0.119583443,0.023592506,1.69454,4,2.25,5
18,36.7,22,7.7,TRUE,0.090460278,0.03813421,1.21741,4,6.5,2
6,20,81,10.7,TRUE,1.027019024,0.042672802,0.421251,8,7.5,2
8,17.3,37,6.2,TRUE,0.154715344,0.37100935,0.775713,3,4.25,1
42.2,2.1,96,14,TRUE,1.525423884,0,0.589537,8,4.25,5
35.2,11.3,25,7.2,FALSE,0.321522385,0.072833203,0.809101,6,6.25,9
5.6,15.3,39,6,FALSE,0.138729408,0.107218213,1.99224,8,3,5
49,62.8,50,16.2,FALSE,0.686449111,0.222055599,1.6667,1,6.5,11
4.6,14.6,4,2.3,FALSE,0,0.018456129,0.436648,2,5.75,3
56.2,42.4,73,17.2,FALSE,1.015768766,1.390976787,1.17715,1,6.25,12
7,7.8,27,4.2,FALSE,0.081727773,0,1.03986,8,4.5,2
0,3.3,19,2.2,FALSE,0.116140664,0,2.69837,9,5.25,2
6,2.7,27,3.6,FALSE,0.113869406,0,2.21043,5,5.5,2
31.2,16.7,34,8.2,TRUE,0.317386121,0.117864981,0.512433,2,6.25,8
26.2,24.9,4,5.5,TRUE,0.051512737,0.92412734,0.270186,7,3.25,5
0,18.8,13,3.1,TRUE,0.209736094,0.0265717,2.3019,4,7.5,5
14.4,8.9,25,4.8,TRUE,0.077002913,0,0.182082,7,5.25,3
4.6,30.3,2,3.7,FALSE,0.092633218,0.030257622,1.66533,7,2.75,3
37.4,13.3,55,10.6,TRUE,0.678145289,0.101129204,0.518148,2,4.25,7
32.2,4.9,58,9.5,FALSE,0.779428363,0,1.03963,5,2,6
157.8,29.2,124,31.1,FALSE,1.734244466,0.16600202,0.725721,5,4.5,24
6.4,4.4,8,1.9,FALSE,0,0,1.03765,1,4,2
44.8,22.8,101,16.9,TRUE,0.602227569,0.170422062,1.1511,3,6.5,9
37.6,14.4,84,13.6,TRUE,0.956315875,0.088161178,1.52569,7,0,8
27.4,34.5,33,9.5,TRUE,0.195183888,0.65719223,0.387741,6,3.5,6
0,5.3,34,3.7,FALSE,0.128924325,0,1.0386,8,3,2
45.4,28.3,58,13.2,TRUE,1.103954911,1.062414408,1.8831,7,2.5,8
12.4,16,45,7.3,TRUE,0.60039562,0.956981421,0.87072,6,0.75,5
43.8,15.3,79,13.8,TRUE,1.10704565,0.145273849,0.87072,6,5.25,9
38.2,16,43,9.7,TRUE,0.51447314,0.085132256,1.60674,6,4.25,8
7.6,0.9,41,5,FALSE,0.15388307,0,2.16957,9,2,2
39,24.3,56,11.9,TRUE,0.556483507,0.101994783,1.48347,6,0,6
41.8,7.3,61,11,FALSE,0.868547678,0,2.76916,9,5.25,6
69,4,106,17.9,TRUE,0.8707605,0,1.85479,2,0,13
83.4,52.4,49,18.5,TRUE,0.440197498,0.74540168,1.22508,5,3,15
0,18,8,2.6,TRUE,0,0.019745614,1.20308,4,4.5,2
74.6,7.9,79,16.2,TRUE,1.183136821,0,0.464523,3,1.75,13
24.4,35.2,16,7.6,TRUE,0.073330224,0.621388435,0.464523,3,4.75,6
16.8,15.2,29,6.1,FALSE,0.069280401,0.016351419,3.38733,9,4.25,2
57.6,56.2,57,17.1,TRUE,0.837902248,1.252794385,0.389672,6,2.75,10
48.8,32.3,113,19.4,FALSE,0.873042643,0.235392869,1.94229,6,3.25,7
33.8,13.2,81,12.8,FALSE,0.912799716,0.095817469,1.51457,1,4.5,7
4.8,17.6,10,3.2,FALSE,0,0.035164036,2.45604,8,4.75,2
6,16.8,22,4.5,TRUE,0.143885717,0.058544893,2.97877,7,5,2
2.4,3.9,17,2.3,FALSE,0.02614121,0,0.569734,3,3.25,2
21.4,67.3,71,16,TRUE,0.228590339,0.585965633,0.157549,2,5.25,2
71.2,28.4,73,17.3,FALSE,1.005378246,0.102625109,1.11096,3,5.5,13
43,15.1,59,11.7,FALSE,0.602603018,0.055140682,1.23419,2,2.25,8
31,3.3,75,10.9,FALSE,0.126116708,0,1.1542,7,4.5,5
5.8,17,54,7.7,TRUE,0.197168082,0.025764989,0.852603,1,5.5,2
15,1.6,91,10.8,FALSE,0.550267935,0,1.69975,10,7.25,2
0,4.5,37,3.2,TRUE,1.360807776,0,0.874219,5,5.25,-1
1.4,3.4,26,3.1,FALSE,0.072492018,0,3.11573,10,3.75,2
13.8,11.6,4,2.9,FALSE,0.019359812,0.073210128,1.94599,4,6,3
9.8,41.7,74,12.6,FALSE,0.651322961,0.13809599,1.7041,5,3.25,2
4.8,15.5,69,8.9,FALSE,0.204026595,0.098282389,1.33215,3,1.25,2
33.4,55.7,98,18.7,TRUE,0.69400841,0.56537801,0.685982,6,4.25,5
0,6.3,19,2.4,TRUE,0.206081361,0,0.563752,7,3.5,1
49,39.8,60,14.9,TRUE,0.227723777,0.522035658,1.46495,6,0,6
0,3.2,35,3.8,TRUE,0.234550461,0,1.73657,3,3.25,2
24.8,27.7,41,9.4,TRUE,0.260771513,0.340963036,0.27644,1,0.5,5
68.4,4.9,68,14.1,FALSE,0.77678889,0,2.54329,8,1.5,13
2.4,3.6,2,0.8,FALSE,0,0,2.21748,2,5,2
7,12.2,46,6.5,FALSE,0.169231683,0.015838668,1.18399,1,3.25,2
4.2,3.4,30,3.8,FALSE,0.117770955,0,1.36768,6,1.5,2
40.6,3.7,28,7.2,TRUE,0.438163429,0,0.54364,2,1,6
43.8,14.9,27,8.6,TRUE,0.28562814,0.110990249,2.77085,10,0.5,6
18.6,15.2,4,3.8,FALSE,0.060584433,0.317590863,2.37777,8,2,5
9.2,47.3,56,11.3,TRUE,0.312492996,0.082326196,1.28703,5,1.5,2
3.4,12.5,50,6.6,FALSE,0.219843671,0.11559733,1.22988,1,6,2
7,2.8,38,4.8,FALSE,0.185548455,0,0.260436,3,2,2
6.8,16.4,64,8.7,TRUE,0.278417826,0.307840407,0.874927,3,3.5,2
