influence,creativity,threat,ict_index,was_home,xG,xA,xGC,fixture,form,total_points
35.6,0,0,3.6,1,0,0,1.64905,8,3.75,2
14.6,0,0,1.5,0,0,0,0.799911,5,4.25,6
20.8,0,0,2.1,0,0,0,2.34997,7,1.5,2
5.8,0,0,0.6,0,0,0,0.697108,1,4.75,6
5,0,0,0.5,0,0,0,0.617412,9,6,1
5.4,0,0,0.5,0,0,0,0.572528,7,3,0
9.6,0,0,1,1,0,0,1.06181,4,2.25,6
28.4,0,0,2.8,1,0,0,1.46058,9,4.25,3
8.6,0,0,0.9,0,0,0,0.464555,3,1.25,2
0.8,0,0,0.1,1,0,0,0.165019,6,2.5,6
2,0,0,0.2,1,0,0,0.738826,10,5.75,1
19.6,0,0,2,0,0,0,1.1365,1,2.5,2
23,0,0,2.3,1,0,0,2.31811,8,1.5,1
34.6,0,0,3.5,1,0,0,0.962065,7,5.5,10
1,0,0,0.1,0,0,0,1.72338,5,2,1
2.4,0,0,0.2,1,0,0,1.12391,10,2.5,1
9.2,0,0,0.9,0,0,0,0.958825,1,2.75,2
6,0,0,0.6,0,0,0,0.353777,4,4.25,2
17,0,0,1.7,1,0,0,0.935866,5,1.75,7
32,0,0,3.2,0,0,0,2.52702,9,3.5,2
26,0,0,2.6,0,0,0,2.49923,7,5.75,2
46,0,0,4.6,1,0,0,1.74295,8,2.25,3
17.8,0,0,1.8,0,0,0,1.24037,9,1.5,2
33,0,0,3.3,0,0,0,1.86443,8,5.75,3
39.8,0,0,4,1,0,0,0.949561,7,1.75,4
2,0,0,0.2,1,0,0,2.66472,9,2.5,0
14.8,0,0,1.5,1,0,0,0.395896,2,4.25,6
13.6,0,0,1.4,0,0,0,0.760046,3,3.25,2
16.6,0,0,1.7,0,0,0,1.82995,3,4.25,2
34.8,0,0,3.5,1,0,0,0.870158,7,3,4
7.4,0,0,0.7,1,0,0,0.907103,7,1.5,2
28,10.1,0,3.8,1,0,0.054939274,0.775645,5,6,9
8.8,0,0,0.9,0,0,0,0.32099,6,2.25,7
9.2,0,0,0.9,0,0,0,0.49472,5,0.5,6
37.2,0,0,3.7,0,0,0,1.06276,7,2.5,4
4.4,0,0,0.4,0,0,0,0.492009,5,4.25,5
9.2,0,0,0.9,1,0,0,0.91785,5,3.25,1
3.2,0,0,0.3,1,0,0,0.50484,1,3.5,6
45.2,0,0,4.5,1,0,0,1.98688,8,2.75,3
15,0,0,1.5,0,0,0,1.84983,6,3.75,3
22.6,0,0,2.3,0,0,0,2.87972,9,1.75,2
34.4,0.1,0,3.5,0,0,0,1.66308,2,5.75,2
26.6,1.1,0,2.8,1,0,0,0.837361,1,3.25,1
