182	2016-17	Anthony Martial	FWD		0	0	0	0	0	267	93	0	0	0	0	2016-10-29T14:00:00Z	0	3	Burnley	0	0	0	0	10	0	116498	0	0	0	0	-3556	386	3942	93	TRUE	0	10
184	2016-17	Ashley Barnes	FWD		0	0	3	0	11.3	70	93	0	0	2.2	1	2016-10-29T14:00:00Z	31	11	Man Utd	0	0	0	0	10	0	7037	0	0	10	1	-130	175	305	44	FALSE	0	10
191	2016-17	Callum Wilson	FWD		0	0	2	0	3.3	49	94	2	0	1.3	0	2016-10-29T14:00:00Z	59	12	Middlesbrough	0	0	0	0	10	0	206607	0	2	10	1	53671	59884	6213	66	FALSE	0	10
194	2016-17	Charlie Austin	FWD		0	0	4	0	4.4	314	95	2	0	3.4	0	2016-10-30T16:00:00Z	90	4	Chelsea	0	0	0	0	10	0	466390	2	0	30	2	75601	91472	15871	66	TRUE	0	10
196	2016-17	Christian Benteke	FWD		0	0	1	0	5.7	213	91	4	0	7.5	8.6	2016-10-29T16:30:00Z	90	9	Liverpool	0	0	0	0	10	0	323658	4	2	61	2	-19052	14197	33249	77	TRUE	0	10
200	2016-17	Connor Wickham	FWD		0	0	0	0	0	122	91	0	0	0	0	2016-10-29T16:30:00Z	0	9	Liverpool	0	0	0	0	10	0	15809	4	2	0	0	-589	232	821	56	TRUE	0	10
206	2016-17	Danny Ings	FWD		0	0	0	0	0	216	91	0	0	0	0	2016-10-29T16:30:00Z	0	5	Crystal Palace	0	0	0	0	10	0	11883	4	2	0	0	-170	280	450	55	FALSE	0	10
208	2016-17	Danny Welbeck	FWD		0	0	0	0	0	26	97	0	0	0	0	2016-10-29T11:30:00Z	0	15	Sunderland	0	0	0	0	10	0	3145	4	1	0	0	-33	74	107	74	FALSE	0	10
214	2016-17	Divock Origi	FWD		0	0	3	0	1.3	217	91	0	0	0.1	0	2016-10-29T16:30:00Z	2	5	Crystal Palace	0	0	0	0	10	0	71478	4	2	0	1	-1696	843	2539	66	FALSE	0	10
215	2016-17	Dominic Calvert-Lewin	FWD		0	0	0	0	0	595	92	0	0	0	0	2016-10-30T13:30:00Z	0	20	West Ham	0	0	0	0	10	0	0	0	2	0	0	0	0	0	45	TRUE	0	10
228	2016-17	Hal Robson-Kanu	FWD		0	0	1	0	0.3	571	100	1	0	0	0	2016-10-29T14:00:00Z	4	10	Man City	0	0	0	0	10	0	6825	4	0	0	1	1276	1756	480	50	TRUE	0	10
