influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
42.6,23,53,11.9,FALSE,0.89611733,0.047692679,0.7197,2,4.666666667,8
7.8,45.8,24,7.8,FALSE,0.057783902,0.18101348,0.951511,1,8,2
14.4,45.2,13,7.3,TRUE,0.270026654,0.099079631,1.07471,3,7.333333333,1
5.4,6.4,49,6.1,FALSE,0.363021702,0,0.0942055,7,7.333333333,3
10.8,17,8,3.6,FALSE,0,0.063724272,0.511462,8,2.333333333,2
32,26.3,56,11.4,TRUE,0.136452451,0.150238514,1.39421,9,3.666666667,6
2.4,17.4,18,3.8,TRUE,0.27496475,0.026894445,1.24012,6,3.333333333,2
24.4,38.4,4,6.7,FALSE,0,0.172169968,2.0478,5,1.75,6
17.2,0.2,0,1.7,FALSE,0,0,1.44452,8,2,2
7.8,7.7,26,4.2,TRUE,0.20296216,0,0.291073,1,3.5,3
22,13.3,7,4.2,TRUE,0.023604436,0,2.0491,6,0.75,3
51.8,33.3,48,13.3,TRUE,0.343732983,0.239919186,2.28156,4,5,10
0,16.6,0,1,TRUE,0,0.0639413,2.28156,4,1.5,2
6,4.9,18,2.9,TRUE,0.119076848,0,1.40213,6,2,2
50.4,23.3,26,10,TRUE,0.774572194,0.074709557,0.291073,1,1.25,9
15,29.3,46,9,TRUE,1.002799988,0.138344795,0.615174,7,0.5,3
46.2,79.5,9,13.5,TRUE,0.159873575,0.31895867,0.291073,1,3.5,9
0,4.8,4,0.7,TRUE,0,0,0.425252,1,0.75,1
0,6.6,2,0.8,FALSE,0,0,1.44452,8,1.25,2
28,22.2,4,5.4,TRUE,0,0.076020308,0.422568,10,3.25,6
15.8,0.9,0,1.7,TRUE,0,0,0.615174,7,2,3
40.4,29.4,22,9.2,TRUE,0.075951353,0.412680775,0.749388,5,3,5
8.2,27.8,16,5.2,TRUE,0.105730399,0.140077829,0.615174,7,1.25,3
17.6,32.3,22,7.2,TRUE,0.107805766,0.093195677,1.40213,6,6.5,2
10.6,19.1,63,9.3,TRUE,0.200544193,0.014243838,0.291073,1,6.25,6
41.6,1.3,27,7,FALSE,0.644429922,0,3.3955,3,4.25,10
7,54.3,18,7.9,FALSE,0.135343343,0.21815972,0.541915,2,3,3
68.6,44.9,60,17.4,FALSE,0.524526298,0.585713923,0.882486,5,3,12
14.6,40.4,62,11.7,TRUE,0.886126518,0.193036348,0.0342109,3,2,9
9.4,8,2,1.9,FALSE,0,0,2.54396,6,3,2
7.8,3.7,8,2,FALSE,0.026523586,0,0.882486,5,1.5,2
1,6.4,8,1.5,FALSE,0.034210909,0,3.9767,10,7.25,2
11.8,4.4,0,1.6,FALSE,0,0,3.9767,10,1.25,2
4.4,1.8,1,0.7,TRUE,0.019998346,0,1.26532,9,1.75,1
9.8,3.9,22,3.6,FALSE,0.009846346,0,2.54396,6,3.5,2
7.6,24.3,16,4.8,FALSE,0.072817869,0.118837334,2.20073,4,1,2
10.6,18.1,39,6.8,FALSE,0.092911094,0.063811943,1.12929,4,2.25,1
