position,influence,creativity,threat,ict_index,minutes,was_home,xG,xA,xGC,Fixture,Form,total_points
DEF,12.4,6.3,1,2,90,TRUE,0.075576931,0,2.48348,8,1,0
DEF,19.2,10.8,6,3.6,90,TRUE,0,0.068116046,2.26056,9,2,0
DEF,17.4,4.7,21,4.3,90,TRUE,0.035413876,0,0.944816,5,0,6
DEF,20.8,11.5,0,3.2,90,FALSE,0,0.061925631,0.853434,1,0,2
DEF,15,1.4,6,2.2,90,TRUE,0,0,1.14759,10,1,1
DEF,13.4,0.2,0,1.4,90,FALSE,0,0,1.69833,10,1,2
DEF,14.4,1.9,4,2,90,TRUE,0,0,0.81046,4,0.5,2
DEF,18.6,0.7,4,2.3,90,TRUE,0.035328716,0,1.00006,8,-1,1
DEF,24,2.2,19,4.5,90,TRUE,0.023329446,0,0.81046,4,0.5,2
DEF,15.2,0.1,0,1.5,90,FALSE,0,0,2.49606,9,4,2
DEF,34.4,0.1,0,3.5,90,TRUE,0,0,2.05902,4,4,1
DEF,20.6,0.2,0,2.1,90,FALSE,0,0,2.49606,9,5.5,2
DEF,36,21.2,0,5.7,90,TRUE,0,0.095937066,0.78196,6,1,1
DEF,14.2,21.6,35,7.1,90,FALSE,0.075011522,0.032361541,0.629678,5,2,2
DEF,19.8,4.7,0,2.5,90,TRUE,0,0,0.0131321,7,6.5,6
DEF,22.2,53.9,4,8,90,FALSE,0,0.205967113,0.675745,8,1.5,2
DEF,21.4,0.1,17,3.9,90,TRUE,0.034185424,0,0.0131321,7,6,6
DEF,20.8,0.8,0,2.2,90,FALSE,0,0,0.675745,8,1.5,1
DEF,9.2,5.4,0,1.5,90,FALSE,0,0,0.404528,5,1.5,2
DEF,13.2,24.4,29,6.7,90,TRUE,0.064315394,0.034834791,0.208762,1,2.5,2
DEF,8.2,2.8,22,3.3,90,TRUE,0.08479283,0,1.19585,10,1,2
DEF,22.4,0.8,4,2.7,90,TRUE,0,0,0.771133,2,3.5,2
DEF,8.4,9,5,2.2,90,FALSE,0.031399466,0,2.25738,3,1,1
DEF,17.2,2.9,6,2.6,90,TRUE,0.020022007,0,0.208762,1,4.5,2
DEF,18.6,0.3,0,1.9,90,FALSE,0,0,0.629678,5,2.5,2
DEF,47.8,40.9,26,11.5,90,TRUE,0.12518166,0.282909155,0.0131321,7,6,13
DEF,22.4,0.8,0,2.3,90,FALSE,0,0,0.51266,3,3,2
DEF,22.4,18.9,18,5.9,90,TRUE,0.046974786,0.03426272,2.05902,4,3.5,1
DEF,39.8,0.1,2,4.2,90,TRUE,0,0,2.05902,4,4,1
DEF,13.4,26.8,2,4.2,90,TRUE,0,0.153271914,0.771133,2,2.5,2
DEF,17,26,4,4.7,90,FALSE,0,0.141485453,2.6457,6,0.5,2
DEF,13.2,1.6,3,1.8,90,FALSE,0.045237277,0,0.404528,5,1.5,2
DEF,24,0.3,0,2.4,90,FALSE,0,0,1.94078,10,1.5,-1
DEF,26.8,1.1,0,2.8,90,FALSE,0,0,0.51266,3,0,2
DEF,5.2,4.5,3,1.3,90,FALSE,0.016892202,0,0.561215,2,0.5,0
DEF,19.2,0.5,2,2.2,90,FALSE,0,0,2.25738,3,1,1
