name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Jorge Luiz Frello Filho,MID,0.006261232,0.108662948,1.0526765,9.05,5.575,0,1.45,8,1,2.25,?
Ross Barkley,MID,0.192746125,0.145286094,1.0526765,0,0,0,0,8,1,0,?
Mateo Kovacic,MID,0.013900114,0.202796999,1.0526765,10.5,19.95,2.5,3.275,8,1,1.5,?
NGolo Kanté,MID,0.070759784,0.084576888,1.0526765,20.55,20.475,9,5.025,8,1,4.5,?
Hakim Ziyech,MID,0.066770334,0.243695419,1.0526765,6.45,30.725,5.75,4.3,8,1,1.25,?
Ruben Loftus-Cheek,MID,0.014020491,0.087643823,1.0526765,12.6,14.425,9,3.6,8,1,1.5,?
Christian Pulisic,MID,0.365216766,0.103641488,1.0526765,1.45,0.625,8.75,1.1,8,1,0.5,?
Mason Mount,MID,0.442694087,0.327484982,1.0526765,43.65,26.225,33.5,10.25,8,1,9.25,?
Kai Havertz,MID,0.658950925,0.151081825,1.0526765,39.05,24.025,57.25,12.025,8,1,6.75,?
Saúl Ñíguez,MID,0.004466176,0.022167817,1.0526765,3.85,1.125,4.75,0.975,8,1,0.5,?
Conor Gallagher,MID,0.038011777,0.023281554,1.170575,6.8,6.8,9,2.275,2,0,2,?
James McArthur,MID,0,0.045959011,1.170575,1.65,0.375,0,0.2,2,0,0.5,?
Luka Milivojevic,MID,0.010538774,0,1.170575,3.9,0.1,0,0.4,2,0,0.5,?
Wilfried Zaha,MID,0.769991029,0.149415622,1.170575,35.9,20.9,44.5,10.15,2,0,6,?
Jeffrey Schlupp,MID,0.039660873,0.067309309,1.170575,14.85,9.475,12,3.6,2,0,3.5,?
Jairo Riedewald,MID,0,0.017874788,1.170575,0,0,0,0,2,0,0,?
Eberechi Eze,MID,0,0.027604519,1.170575,1.2,4.2,0.5,0.6,2,0,0.25,?
Jesurun Rak-Sakyi,MID,0,0,1.170575,0,0,0,0,2,0,0,?
Anwar El Ghazi,MID,0.007013971,0.017482929,1.31533675,0,0,0,0,5,1,0,?
Fabian Delph,MID,0,0,1.31533675,4.5,0.275,0,0.475,5,1,0.75,?
Allan Marques Loureiro,MID,0.010086572,0.036503751,1.31533675,8.3,3.325,4.5,1.6,5,1,0.75,?
André Filipe Tavares Gomes,MID,0.006076192,0,1.31533675,0.5,0.025,0,0.05,5,1,0.25,?
Abdoulaye Doucouré,MID,0.009986495,0.017484868,1.31533675,7.2,7.4,2.25,1.7,5,1,2,?
Alex Iwobi,MID,0.090168819,0.044511022,1.31533675,17.05,22.1,6.75,4.6,5,1,4.25,?
Donny van de Beek,MID,0.02281918,0.006191403,1.31533675,0,0,0,0,5,1,0,?
Bamidele Alli,MID,0.002483765,0.023437988,1.31533675,0,0,0,0,5,1,0,?
Demarai Gray,MID,0.068016603,0.046091052,1.31533675,4,14.775,15.25,3.375,5,1,1.75,?
Anthony Gordon,MID,0.108081914,0.067205783,1.31533675,17.55,17.875,24.75,6.025,5,1,4.5,?
