@relation DEF_gameweek_33

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.03656,0.056736,0.81584,23.25,5.125,11.75,4.025,8,1,6.75,?
0.01445,0,0.81584,17,1.225,6.25,2.425,8,1,5,?
0.02253,0.262482,0.81584,18.25,19.65,6.25,4.425,8,1,6,?
0.04749,0.500444,0.81584,16.45,28.95,6.25,5.15,8,1,4.25,?
0,0.148363,0.81584,8.75,5.7,0,1.45,8,1,2.5,?
0.017796,0,0.81584,0,0,0,0,8,1,0,?
0.113421,0.196582,0.81584,0,0,0,0,8,1,0,?
0.003699,0.01974,0.548684,11.05,9.4,3.25,2.375,6,1,3.75,?
0.012524,0.032476,0.548684,13.05,6.7,3,2.275,6,1,2.5,?
0.04198,0.202817,0.548684,20.85,21.575,15.5,5.8,6,1,5.5,?
0.160394,0.154319,0.548684,5.25,0.225,0,0.55,6,1,1.5,?
0.139062,0.012963,0.548684,15.8,4.525,3,2.325,6,1,3.75,?
0.014321,0.116461,0.548684,0,0,0,0,6,1,0,?
0.043171,0.019358,1.450439,23.45,4.1,17.25,4.475,2,1,0.5,?
0.043171,0.019358,1.450439,23.45,4.1,17.25,4.475,10,0,0.5,?
0.019234,0.063747,1.450439,17.65,20.75,7.5,4.575,2,1,1.75,?
0.019234,0.063747,1.450439,17.65,20.75,7.5,4.575,10,0,1.75,?
0.019207,0.004571,1.450439,6.2,0.425,1.5,0.825,2,1,0.75,?
0.019207,0.004571,1.450439,6.2,0.425,1.5,0.825,10,0,0.75,?
0,0,1.450439,0,0,0,0,2,1,0,?
0,0,1.450439,0,0,0,0,10,0,0,?
0.05625,0.030144,1.450439,9.85,0.975,7,1.8,2,1,0.5,?
0.05625,0.030144,1.450439,9.85,0.975,7,1.8,10,0,0.5,?
0.027368,0.028249,1.450439,8.95,10.325,1.5,2.075,2,1,0.75,?
0.027368,0.028249,1.450439,8.95,10.325,1.5,2.075,10,0,0.75,?
0,0,1.450439,0,0,0,0,2,1,0,?
0,0,1.450439,0,0,0,0,10,0,0,?
0.004084,0.029211,1.423624,12,15.225,3,3.025,5,1,2.5,?
0.004084,0.029211,1.423624,12,15.225,3,3.025,4,1,2.5,?
0.061768,0.009324,1.423624,15.95,6.075,20.25,4.225,5,1,2.75,?
0.061768,0.009324,1.423624,15.95,6.075,20.25,4.225,4,1,2.75,?
0.025595,0,1.423624,0,0,0,0,5,1,0,?
0.025595,0,1.423624,0,0,0,0,4,1,0,?
0.015223,0,1.423624,3.35,0,1,0.45,5,1,0.75,?
0.015223,0,1.423624,3.35,0,1,0.45,4,1,0.75,?
0,0,1.423624,0,0,0,0,5,1,0,?
0,0,1.423624,0,0,0,0,4,1,0,?
0,0,1.423624,2.9,0.875,0,0.4,5,1,0.75,?
0,0,1.423624,2.9,0.875,0,0.4,4,1,0.75,?
0.003377,0,1.423624,5.45,0.75,2.75,0.9,5,1,2.75,?
0.003377,0,1.423624,5.45,0.75,2.75,0.9,4,1,2.75,?
0.082128,0.017719,1.423624,27.1,4.225,15.5,4.675,5,1,3.75,?
0.082128,0.017719,1.423624,27.1,4.225,15.5,4.675,4,1,3.75,?
0.044242,0,1.423624,0,0,0,0,5,1,0,?
