@relation MID_gameweek_33

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.017788,0.041366,0.89484,13.7,16.925,5.25,3.6,6,0,3,?
0.017788,0.041366,0.89484,13.7,16.925,5.25,3.6,9,0,3,?
0.003892,0.010825,0.89484,0,0,0,0,6,0,0,?
0.003892,0.010825,0.89484,0,0,0,0,9,0,0,?
0.167571,0,0.89484,0.75,1,14.5,1.575,6,0,0.75,?
0.167571,0,0.89484,0.75,1,14.5,1.575,9,0,0.75,?
0.274487,0.053732,0.89484,5.2,15.275,20.25,4.075,6,0,2,?
0.274487,0.053732,0.89484,5.2,15.275,20.25,4.075,9,0,2,?
0.112169,0.418036,0.89484,18,33.925,29.25,8.125,6,0,4,?
0.112169,0.418036,0.89484,18,33.925,29.25,8.125,9,0,4,?
0.143442,0.075586,0.89484,5.3,10.8,24.25,4.025,6,0,1.25,?
0.143442,0.075586,0.89484,5.3,10.8,24.25,4.025,9,0,1.25,?
0.013755,0.025656,0.89484,4.9,6.55,2,1.35,6,0,0.5,?
0.013755,0.025656,0.89484,4.9,6.55,2,1.35,9,0,0.5,?
0.247074,0.041837,0.89484,13.1,11.275,19.5,4.2,6,0,3.5,?
0.247074,0.041837,0.89484,13.1,11.275,19.5,4.2,9,0,3.5,?
0.031104,0.011304,0.909731,14.3,8.625,7,3,1,0,2.25,?
0.053581,0,0.909731,1.3,1.2,5.25,0.775,1,0,0.25,?
0.062989,0.064698,0.909731,5.7,12.1,8.75,2.675,1,0,1.25,?
0.180699,0.176137,0.909731,23.8,9.25,29.25,6.225,1,0,5.5,?
0,0.076664,0.909731,0,0,0,0,1,0,0,?
0.036303,0.003587,0.909731,3.7,5.65,4.5,1.4,1,0,1.25,?
0.432722,0.387369,0.909731,33.8,26.475,53.75,11.4,1,0,7.5,?
0.033369,0.026314,0.909731,1.95,5.5,5,1.25,1,0,0.25,?
0.035465,0.088078,0.909731,21,8.85,11,4.075,1,0,4.5,?
0.217024,0.210205,0.909731,27.95,21.5,14.75,6.4,1,0,4.5,?
0.014474,0.004832,1.84518,1.8,0.05,0,0.175,7,0,0.5,?
0.014474,0.004832,1.84518,1.8,0.05,0,0.175,10,0,0.5,?
0,0.051198,1.84518,11.7,26.875,2.5,4.125,7,0,1.75,?
0,0.051198,1.84518,11.7,26.875,2.5,4.125,10,0,1.75,?
0.034217,0.137194,1.84518,9.95,28.55,11.25,4.975,7,0,1.75,?
0.034217,0.137194,1.84518,9.95,28.55,11.25,4.975,10,0,1.75,?
0.248829,0.073732,1.84518,17.15,14.675,29,6.075,7,0,3.75,?
0.248829,0.073732,1.84518,17.15,14.675,29,6.075,10,0,3.75,?
0.020941,0.0057,1.84518,4.65,0.85,0.5,0.6,7,0,1.25,?
0.020941,0.0057,1.84518,4.65,0.85,0.5,0.6,10,0,1.25,?
0,0,1.84518,0.45,0.2,0,0.075,7,0,0.25,?
0,0,1.84518,0.45,0.2,0,0.075,10,0,0.25,?
0.211961,0.033068,1.84518,8.6,13.95,19,4.15,7,0,2,?
0.211961,0.033068,1.84518,8.6,13.95,19,4.15,10,0,2,?
0.029147,0.252214,1.84518,16.4,3.1,2.25,2.175,7,0,3.75,?
0.029147,0.252214,1.84518,16.4,3.1,2.25,2.175,10,0,3.75,?
0,0,1.84518,0.05,0.25,0,0.025,7,0,0.25,?
0,0,1.84518,0.05,0.25,0,0.025,10,0,0.25,?
0,0.027446,1.857035,1.45,0.25,0,0.175,9,0,0.5,?
0,0.027446,1.857035,1.45,0.25,0,0.175,6,1,0.5,?
0.022307,0.008636,1.857035,0,0,0,0,9,0,0,?
0.022307,0.008636,1.857035,0,0,0,0,6,1,0,?
0.052863,0.087932,1.857035,7.7,20.425,10.5,3.75,9,0,2,?
0.052863,0.087932,1.857035,7.7,20.425,10.5,3.75,6,1,2,?
0.056593,0.010416,1.857035,11.3,8.35,5.5,2.525,9,0,1.75,?
0.056593,0.010416,1.857035,11.3,8.35,5.5,2.525,6,1,1.75,?
0.099583,0.191882,1.857035,5.2,8.85,15,2.9,9,0,1.25,?
0.099583,0.191882,1.857035,5.2,8.85,15,2.9,6,1,1.25,?
0,0.032301,1.857035,5.35,13.375,6,2.475,9,0,2,?
0,0.032301,1.857035,5.35,13.375,6,2.475,6,1,2,?
0.426735,0.177863,1.857035,21.8,16.625,27.25,6.575,9,0,4.25,?
0.426735,0.177863,1.857035,21.8,16.625,27.25,6.575,6,1,4.25,?
0.006261,0.108663,1.052677,9.05,5.575,0,1.45,8,1,2.25,?
0.192746,0.145286,1.052677,0,0,0,0,8,1,0,?
0.0139,0.202797,1.052677,10.5,19.95,2.5,3.275,8,1,1.5,?
0.07076,0.084577,1.052677,20.55,20.475,9,5.025,8,1,4.5,?
0.06677,0.243695,1.052677,6.45,30.725,5.75,4.3,8,1,1.25,?
0.01402,0.087644,1.052677,12.6,14.425,9,3.6,8,1,1.5,?
0.365217,0.103641,1.052677,1.45,0.625,8.75,1.1,8,1,0.5,?
0.442694,0.327485,1.052677,43.65,26.225,33.5,10.25,8,1,9.25,?
0.658951,0.151082,1.052677,39.05,24.025,57.25,12.025,8,1,6.75,?
0.004466,0.022168,1.052677,3.85,1.125,4.75,0.975,8,1,0.5,?
0.038012,0.023282,1.170575,6.8,6.8,9,2.275,2,0,2,?
0,0.045959,1.170575,1.65,0.375,0,0.2,2,0,0.5,?
0.010539,0,1.170575,3.9,0.1,0,0.4,2,0,0.5,?
0.769991,0.149416,1.170575,35.9,20.9,44.5,10.15,2,0,6,?
0.039661,0.067309,1.170575,14.85,9.475,12,3.6,2,0,3.5,?
0,0.017875,1.170575,0,0,0,0,2,0,0,?
0,0.027605,1.170575,1.2,4.2,0.5,0.6,2,0,0.25,?
0,0,1.170575,0,0,0,0,2,0,0,?
0.007014,0.017483,1.315337,0,0,0,0,5,1,0,?
0,0,1.315337,4.5,0.275,0,0.475,5,1,0.75,?
0.010087,0.036504,1.315337,8.3,3.325,4.5,1.6,5,1,0.75,?
0.006076,0,1.315337,0.5,0.025,0,0.05,5,1,0.25,?
0.009986,0.017485,1.315337,7.2,7.4,2.25,1.7,5,1,2,?
0.090169,0.044511,1.315337,17.05,22.1,6.75,4.6,5,1,4.25,?
0.022819,0.006191,1.315337,0,0,0,0,5,1,0,?
0.002484,0.023438,1.315337,0,0,0,0,5,1,0,?
0.068017,0.046091,1.315337,4,14.775,15.25,3.375,5,1,1.75,?
0.108082,0.067206,1.315337,17.55,17.875,24.75,6.025,5,1,4.5,?
0.010572,0,1.315337,0,0,0,0,5,1,0,?
0.0182,0.301864,1.772777,3.1,6.9,2,1.2,2,0,0.5,?
0.0182,0.301864,1.772777,3.1,6.9,2,1.2,3,0,0.5,?
0,0.006796,1.772777,8.75,4.825,0,1.35,2,0,2,?
0,0.006796,1.772777,8.75,4.825,0,1.35,3,0,2,?
0.024269,0,1.772777,12.7,2.55,6.5,2.2,2,0,1.25,?
0.024269,0,1.772777,12.7,2.55,6.5,2.2,3,0,1.25,?
0.116625,0.345121,1.772777,29.45,45.55,12.25,8.725,2,0,6,?
0.116625,0.345121,1.772777,29.45,45.55,12.25,8.725,3,0,6,?
0.005057,0,1.772777,0.25,0,0,0.025,2,0,0.25,?
0.005057,0,1.772777,0.25,0,0,0.025,3,0,0.25,?
0.240429,0.046628,1.772777,8.2,11.975,24.5,4.45,2,0,2.5,?
0.240429,0.046628,1.772777,8.2,11.975,24.5,4.45,3,0,2.5,?
0.08099,0.120721,1.772777,23.4,17.55,14.5,5.575,2,0,4.75,?
0.08099,0.120721,1.772777,23.4,17.55,14.5,5.575,3,0,4.75,?
0.300499,0.080641,1.772777,9.3,0.575,6.25,1.625,2,0,1.75,?
0.300499,0.080641,1.772777,9.3,0.575,6.25,1.625,3,0,1.75,?
0.008163,0.033498,0.81584,0.65,0,0,0.05,8,1,0.5,?
0.026122,0.039183,0.81584,7.5,12.45,3.5,2.35,8,1,2.75,?
0.017204,0.173559,0.81584,18.6,20.925,3,4.25,8,1,2.75,?
0.184301,0.075896,0.81584,0,0,0,0,8,1,0,?
0.228794,0.014987,0.81584,12.7,5.95,26.5,4.525,8,1,3.5,?
0.190292,0.014172,0.81584,16.3,4.825,4.75,2.6,8,1,3.25,?
0.438947,0.23338,0.81584,17.4,17.4,45.75,8.025,8,1,4.5,?
0.161043,0.12278,0.81584,0,0,0,0,8,1,0,?
0.027882,0.0437,0.81584,1.65,0.95,5,0.775,8,1,1.75,?
0.428363,0.062012,0.81584,27.75,11.5,33.75,7.3,8,1,7,?
0.070236,0.065256,0.81584,1.05,9.325,1,1.125,8,1,1,?
0.120205,0.107229,0.81584,0,0,0,0,8,1,0,?
0,0,0.81584,0,0,0,0,8,1,0,?
0.491121,0,0.81584,0,0,0,0,8,1,0,?
0.232967,0.055628,0.81584,11.8,6.625,12,3.05,8,1,2.5,?
0.0592,0.382611,0.548684,7.25,28.15,27.5,6.275,6,1,2,?
0.284309,0.165207,0.548684,14.25,8.05,11,3.35,6,1,3.25,?
0.330167,0.267454,0.548684,49.1,48.9,42,14,6,1,10.25,?
0.325187,0,0.548684,19.35,6.25,39.25,6.4,6,1,4.5,?
0.154316,0.14949,0.548684,10.55,13.05,13.5,3.725,6,1,3.25,?
0.259474,0.134005,0.548684,21.65,30.15,21.25,7.325,6,1,3.5,?
0.214215,0.032037,0.548684,5.15,14.025,30.5,4.975,6,1,2.5,?
0.067098,0.026219,0.548684,15.45,9.825,13.5,3.9,6,1,2.5,?
0.195286,0.185924,0.548684,0,0,0,0,6,1,0,?
0.044324,0,0.548684,0,0,0,0,6,1,0,?
0,0.002294,1.450439,6.3,2.2,0,0.85,2,1,1.25,?
0,0.002294,1.450439,6.3,2.2,0,0.85,10,0,1.25,?
0.024697,0.011838,1.450439,7.7,7.6,7.75,2.3,2,1,2,?
0.024697,0.011838,1.450439,7.7,7.6,7.75,2.3,10,0,2,?
0.006679,0.022157,1.450439,0.05,0.075,0,0.025,2,1,0.25,?
0.006679,0.022157,1.450439,0.05,0.075,0,0.025,10,0,0.25,?
0.329068,0.198124,1.450439,8.3,17.425,21.25,4.675,2,1,2.25,?
0.329068,0.198124,1.450439,8.3,17.425,21.25,4.675,10,0,2.25,?
0.049481,0,1.450439,3.65,3.05,14,2.075,2,1,1.5,?
0.049481,0,1.450439,3.65,3.05,14,2.075,10,0,1.5,?
0.089286,0,1.450439,1.6,1.725,1.5,0.475,2,1,0.25,?
0.089286,0,1.450439,1.6,1.725,1.5,0.475,10,0,0.25,?
0.062743,0.274664,1.450439,20.95,28.875,19,6.9,2,1,4.5,?
0.062743,0.274664,1.450439,20.95,28.875,19,6.9,10,0,4.5,?
0.022161,0,1.450439,4.85,2.075,9.5,1.65,2,1,1.5,?
0.022161,0,1.450439,4.85,2.075,9.5,1.65,10,0,1.5,?
0,0,1.450439,0,0,0,0,2,1,0,?
0,0,1.450439,0,0,0,0,10,0,0,?
0.010142,0.13671,1.423624,5.25,5.875,2.25,1.35,5,1,1.25,?
0.010142,0.13671,1.423624,5.25,5.875,2.25,1.35,4,1,1.25,?
0.012467,0.036264,1.423624,3.2,9.95,2.5,1.55,5,1,1,?
0.012467,0.036264,1.423624,3.2,9.95,2.5,1.55,4,1,1,?
