name,pos,prediction,confidence_score
Bernd Leno,GK,2:return,0.521
Bernd Leno,GK,1:no,0.528
Aaron Ramsdale,GK,2:return,0.544
Aaron Ramsdale,GK,1:no,0.505
David Raya Martin,GK,2:return,0.543
Alvaro Fernandes,GK,2:return,0.663
Jonas Lössl,GK,2:return,0.663
Jason Steele,GK,2:return,0.568
Jason Steele,GK,2:return,0.522
Robert Sánchez,GK,2:return,0.521
Robert Sánchez,GK,1:no,0.526
Nick Pope,GK,2:return,0.506
Nick Pope,GK,2:return,0.578
Will Norris,GK,2:return,0.536
Will Norris,GK,2:return,0.607
Wayne Hennessey,GK,2:return,0.986
Wayne Hennessey,GK,2:return,0.99
Kepa Arrizabalaga,GK,2:return,0.563
Edouard Mendy,GK,1:no,0.509
Vicente Guaita,GK,2:return,0.62
Jack Butland,GK,2:return,0.651
Jordan Pickford,GK,1:no,0.509
Asmir Begović,GK,2:return,0.552
Kasper Schmeichel,GK,2:return,0.645
Kasper Schmeichel,GK,2:return,0.626
Eldin Jakupovic,GK,2:return,0.659
Eldin Jakupovic,GK,2:return,0.64
Adrián San Miguel del Castillo,GK,2:return,0.554
Alisson Ramses Becker,GK,1:no,0.502
Caoimhin Kelleher,GK,2:return,0.554
Ederson Santana de Moraes,GK,2:return,0.502
Zack Steffen,GK,2:return,0.574
Scott Carson,GK,2:return,0.574
David de Gea,GK,2:return,0.645
David de Gea,GK,1:no,0.517
Dean Henderson,GK,2:return,0.677
Dean Henderson,GK,2:return,0.519
Tom Heaton,GK,2:return,0.677
Tom Heaton,GK,2:return,0.519
Karl Darlow,GK,2:return,0.622
Karl Darlow,GK,2:return,0.64
Martin Dubravka,GK,2:return,0.557
Martin Dubravka,GK,2:return,0.575
Michael McGovern,GK,2:return,0.547
Tim Krul,GK,2:return,1
Angus Gunn,GK,2:return,0.547
Fraser Forster,GK,2:return,0.564
Fraser Forster,GK,2:return,0.669
Willy Caballero,GK,2:return,0.574
Willy Caballero,GK,2:return,0.677
Hugo Lloris,GK,2:return,0.521
Pierluigi Gollini,GK,2:return,0.591
Ben Foster,GK,2:return,0.613
Daniel Bachmann,GK,2:return,0.641
Darren Randolph,GK,2:return,0.697
Lukasz Fabianski,GK,2:return,0.669
Alphonse Areola,GK,2:return,0.697
Cédric Soares,DEF,1:no,0.571
Cédric Soares,DEF,1:no,0.656
Rob Holding,DEF,1:no,0.999
Rob Holding,DEF,1:no,0.999
Gabriel Magalhães,DEF,1:no,0.67
Gabriel Magalhães,DEF,1:no,0.744
Ben White,DEF,1:no,0.852
Ben White,DEF,1:no,0.892
Nuno Varela Tavares,DEF,1:no,0.999
Nuno Varela Tavares,DEF,1:no,1
Rico Henry,DEF,2:return,0.527
Mads Roerslev Rasmussen,DEF,1:no,0.981
Mads Bech Sørensen,DEF,1:no,0.999
Ethan Pinnock,DEF,1:no,0.729
Kristoffer Ajer,DEF,2:return,0.595
Finley Stevens,DEF,1:no,0.999
Mathias Jorgensen,DEF,1:no,0.999
Shane Duffy,DEF,1:no,0.966
Shane Duffy,DEF,1:no,0.987
Lewis Dunk,DEF,1:no,0.623
Lewis Dunk,DEF,1:no,0.814
Adam Webster,DEF,1:no,0.999
Adam Webster,DEF,1:no,1
Joël Veltman,DEF,1:no,0.696
Joël Veltman,DEF,1:no,0.858
