@relation FWD_gameweek_34

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.080549,0.022358,0.906762,1.1,4.4,5.25,1,8,1,1.25,?
0.363964,0.11308,0.906762,21.7,9.675,24.5,5.6,8,1,4.25,?
0.387385,0.043152,1.333753,13.1,12.1,47.5,7.3,6,0,3.75,?
0.229967,0.135696,1.333753,3.25,8.875,33.5,4.5,6,0,1,?
0.526602,0.313221,1.079356,22.2,33.325,52.25,10.8,9,1,5,?
0.360604,0.121843,1.24008,0,6.775,6.75,1.125,4,1,0.25,?
0.091518,0.042456,1.24008,9.95,16.625,17.75,4.425,4,1,1.75,?
0.421092,0.030942,2.02454,14.25,11.5,45,7.075,7,1,4,?
0,0,2.02454,0.5,0,0.5,0.1,7,1,0.25,?
0.026013,0.123669,2.02454,4.35,3.425,4.25,1.125,7,1,1.75,?
0,0,2.02454,0,0,0,0,7,1,0,?
0.41562,0.06462,2.02454,13.7,9.85,26,4.95,7,1,3.25,?
0.614126,0.038699,1.279573,28.1,18.05,49.5,9.575,7,1,6.75,?
0.614126,0.038699,1.279573,28.1,18.05,49.5,9.575,8,0,6.75,?
0.050717,0.024449,1.279573,1,3.65,3,0.75,7,1,0.75,?
0.050717,0.024449,1.279573,1,3.65,3,0.75,8,0,0.75,?
0.075197,0,1.184823,0,0,0,0,3,1,0,?
0.083961,0.017468,1.184823,13.8,4.15,12.75,3.075,3,1,3,?
0.145664,0.036022,1.184823,12,6.625,16.75,3.55,3,1,2.75,?
0.072825,0.032318,1.184823,3.4,6.875,14.5,2.475,3,1,0.75,?
0.888024,0.048182,1.322412,42.95,14.7,60.75,11.85,10,0,6.5,?
0.161157,0.022745,1.322412,4.05,2.7,3,0.9,10,0,1.25,?
0,0,1.322412,0,0,0,0,10,0,0,?
0,0,1.322412,0,0,0,0,10,0,0,?
0.250832,0.02551,1.665232,9.1,6.375,23.25,3.875,3,1,3.75,?
0.004609,0.053686,1.665232,1.7,6.35,5,1.275,3,1,1.25,?
0.379798,0.134878,1.44508,30.7,18.125,22.5,7.125,4,0,6,?
0.022398,0.131161,1.44508,11.25,8.1,4,2.325,4,0,2.25,?
0.267998,0,1.44508,8.95,0.225,9.75,1.875,4,0,1.75,?
0.2511,0,0.686067,0,0,0,0,2,1,0,?
0.334787,0.101552,0.487577,9.45,3.475,29,4.1,1,1,2.75,?
0,0,0.487577,0,0,0,0,1,1,0,?
0.613478,0.040475,1.372721,27.05,8.35,34.5,7,8,0,4.5,?
0.613478,0.040475,1.372721,27.05,8.35,34.5,7,9,1,4.5,?
0.228452,0.019668,1.22221,9.6,4.5,11.5,2.45,1,0,3.75,?
0,0.002723,1.22221,0.05,0.075,0,0.025,1,0,0.25,?
0.105631,0.009284,1.22221,5.65,7.8,21.25,3.45,1,0,1.75,?
0.091539,0.101518,1.22221,10.9,18.675,14.5,4.375,1,0,1.5,?
0.558967,0.493739,2.153602,31.3,20.475,46.75,9.85,5,1,6.25,?
0.428981,0.17214,2.350357,5,7.425,27.25,4,6,0,1.25,?
0.062199,0.205023,2.350357,0.95,11.9,16.75,2.95,6,0,1.25,?
0.017456,0.010063,2.350357,0.05,0.1,4.5,0.45,6,0,0.25,?
0.014859,0,2.350357,0.15,1.1,2.5,0.375,6,0,0.25,?
0.375305,0.663341,0.845348,29.95,37.875,31.25,9.9,5,0,7.25,?
0,0,0.845348,0,0,0,0,5,0,0,?
0.142753,0.119928,1.628413,7.05,9.95,16.5,3.375,10,0,2,?
0.044608,0.03291,1.628413,16.4,10.2,13.25,4.025,10,0,3,?
0.104896,0.043517,1.628413,0.85,5.6,3.25,0.975,10,0,1,?
0.448406,0.029584,1.735626,5.15,10.725,40.25,5.425,9,0,2.25,?
0.275196,0.051583,1.642409,0.45,6.225,12,1.625,2,0,0,?
0.278098,0.014962,1.642409,2.5,4,17.75,2.4,2,0,2.25,?
0.055591,0,1.642409,2.05,1.3,8.25,1.175,2,0,1.25,?
