@relation MID_gameweek_34

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.13236,0.040144,1.665232,11.7,8.85,21.75,4.225,3,1,3.75,?
0.081782,0.092381,1.665232,24.45,20.3,17.75,6.25,3,1,4.75,?
0.078028,0.054705,1.665232,19.7,10.075,14,4.375,3,1,4.25,?
0.015827,0.037632,1.44508,8.05,8.825,5.5,2.225,4,0,1.5,?
0.015568,0.148682,1.44508,18.1,15.075,5.75,3.9,4,0,2.25,?
0.028539,0.008979,1.44508,4,0.325,1.75,0.625,4,0,0.5,?
0.295269,0.338387,1.44508,21.9,20.975,23,6.575,4,0,5,?
0.338645,0.269927,1.44508,38.55,18.1,25.75,8.225,4,0,6.5,?
0.290387,0.215006,1.44508,10.9,14.35,29.5,5.475,4,0,3.25,?
0.080598,0.012139,1.44508,1.3,2.55,0,0.375,4,0,0.25,?
0,0,1.44508,0,0,0,0,4,0,0,?
0,0,1.44508,0,0,0,0,4,0,0,?
0,0,1.44508,0,0,0,0,4,0,0,?
0,0,0.686067,0.15,0.075,0,0.025,2,1,0.5,?
0.014834,0.044635,0.686067,7.35,17.375,2,2.675,2,1,2.75,?
0.017204,0.144269,0.686067,25.3,27.75,3,5.6,2,1,3.25,?
0.184301,0.075896,0.686067,0,0,0,0,2,1,0,?
0.202481,0.094389,0.686067,22.9,9.15,22,5.4,2,1,6,?
0.193302,0.116681,0.686067,17.45,8.75,6.25,3.25,2,1,3.5,?
0.339524,0.350472,0.686067,28.9,19.325,38.75,8.675,2,1,7,?
0.161043,0.12278,0.686067,0,0,0,0,2,1,0,?
0.022997,0.029601,0.686067,1.15,0.575,0.5,0.225,2,1,0.25,?
0.516237,0.096979,0.686067,31.1,15.075,37,8.325,2,1,7.75,?
0.070236,0.065256,0.686067,1.05,9.325,1,1.125,2,1,1,?
0.120205,0.107229,0.686067,0,0,0,0,2,1,0,?
0,0,0.686067,0,0,0,0,2,1,0,?
0.491121,0,0.686067,0,0,0,0,2,1,0,?
0.307971,0.085544,0.686067,14.95,4.85,14,3.375,2,1,3.5,?
0.0592,0.382611,0.487577,4.85,18.2,19.5,4.25,1,1,1.5,?
0.170513,0.159728,0.487577,11.9,5.4,20,3.75,1,1,3,?
0.091576,0.30657,0.487577,30.85,47.35,22.5,10.075,1,1,7.25,?
0.476947,0.04463,0.487577,17.25,14.25,28.25,5.875,1,1,4.5,?
0.154316,0.14949,0.487577,10.55,13.05,13.5,3.725,1,1,3.25,?
0.262683,0.080104,0.487577,22.1,20.625,15.75,5.875,1,1,4.25,?
0.116223,0.052382,0.487577,14.35,18.85,28.5,6.175,1,1,4.5,?
0.081734,0,0.487577,12.65,6.35,17,3.625,1,1,2.75,?
0.195286,0.185924,0.487577,0,0,0,0,1,1,0,?
0.07018,0.111611,0.487577,0,0,0,0,1,1,0,?
0.044324,0,0.487577,0,0,0,0,1,1,0,?
0,0,1.372721,5.85,2.975,0,0.9,8,0,1.5,?
0,0,1.372721,5.85,2.975,0,0.9,9,1,1.5,?
0.058827,0.096649,1.372721,6.4,16.725,8,3.1,8,0,1,?
0.058827,0.096649,1.372721,6.4,16.725,8,3.1,9,1,1,?
0.084424,0.089557,1.372721,17.9,24.25,25.5,6.75,8,0,2.5,?
0.084424,0.089557,1.372721,17.9,24.25,25.5,6.75,9,1,2.5,?
0.049481,0,1.372721,2.4,3.9,16,2.225,8,0,1.5,?
0.049481,0,1.372721,2.4,3.9,16,2.225,9,1,1.5,?
0.025798,0.03224,1.372721,0.6,0.4,1,0.2,8,0,0,?
0.025798,0.03224,1.372721,0.6,0.4,1,0.2,9,1,0,?
0.089679,0,1.372721,2.45,4.175,7,1.35,8,0,0.5,?
0.089679,0,1.372721,2.45,4.175,7,1.35,9,1,0.5,?
0.087093,0.113082,1.372721,9.7,29.925,27,6.675,8,0,1.75,?
0.087093,0.113082,1.372721,9.7,29.925,27,6.675,9,1,1.75,?
0.063807,0.168681,1.372721,12.2,12.675,18.75,4.375,8,0,3.75,?
0.063807,0.168681,1.372721,12.2,12.675,18.75,4.375,9,1,3.75,?
0,0,1.372721,0,0.15,0,0,8,0,0,?
0,0,1.372721,0,0.15,0,0,9,1,0,?
0.095219,0.018099,1.22221,2.6,0.625,7,1.025,1,0,2.5,?
0.016794,0.029402,1.22221,10.75,7.4,4,2.225,1,0,2.5,?
0,0.010659,1.22221,2.75,2.775,0,0.55,1,0,1,?
0.166466,0.033517,1.22221,12.6,6.375,31.5,5.075,1,0,3,?
0.004632,0,1.22221,0.25,0,0,0.025,1,0,0.5,?
0.045093,0.040896,2.153602,4.05,5.55,4.5,1.4,5,1,1.25,?
0.145107,0.052595,2.153602,21.75,11.4,16.75,5,5,1,3.5,?
0.147084,0.154438,2.153602,16.6,21.125,9,4.675,5,1,3.75,?
0,0,2.153602,0.35,0.1,1,0.15,5,1,0.25,?
0.208436,0.009073,2.153602,7.4,7.975,31.25,4.65,5,1,2.5,?
0.043761,0.132749,2.153602,13.3,12.35,8.5,3.425,5,1,3.5,?
0.002887,0.032049,2.153602,0.05,0.125,0.5,0.075,5,1,0.5,?
0.017375,0.165161,2.153602,16,13.2,1.5,3.075,5,1,3,?
0.029409,0,2.153602,0.8,0.175,5.75,0.675,5,1,0.75,?
0.023684,0,2.350357,0,0,0,0,6,0,0,?
0.1296,0.191851,2.350357,7.55,12.075,4.75,2.4,6,0,2,?
0.010063,0.138509,2.350357,2.35,5.475,0.5,0.825,6,0,0.5,?
0.043196,0.03457,2.350357,8.85,13.95,11.75,3.475,6,0,2,?
0.047652,0.191877,2.350357,21.5,31.3,7.25,6,6,0,4.25,?
0.031559,0,2.350357,0,0.075,0,0,6,0,0.25,?
0.022236,0.016984,2.350357,0.65,0.125,0,0.075,6,0,0.25,?
0.004463,0.011409,2.350357,3.95,1.675,2.75,0.825,6,0,0.75,?
0.00458,0.005338,2.350357,0,0,0,0,6,0,0,?
0.391121,0.065485,2.350357,12.8,11.55,26.25,5.075,6,0,2.75,?
0.652298,0.287685,0.845348,59.55,21.4,45.25,12.625,5,0,12.75,?
0,0.087704,0.845348,7.35,3.075,1,1.125,5,0,1.75,?
0.046171,0.132163,0.845348,11.35,9.125,10.75,3.125,5,0,2,?
0.00427,0.004731,0.845348,1.5,0.4,0.25,0.2,5,0,0.5,?
0.200986,0.020531,0.845348,8.85,3.075,7.25,1.85,5,0,2.25,?
0.072583,0.352678,0.845348,22,24.95,19.75,6.625,5,0,5.5,?
0.017684,0.007491,0.845348,16.15,7.075,3,2.625,5,0,2,?
0.17878,0.2045,1.628413,13.9,18.925,11.25,4.425,10,0,1.5,?
0,0,1.628413,0,0,0,0,10,0,0,?
0.016802,0,1.628413,1.2,0.175,0.5,0.175,10,0,0.5,?
0,0,1.628413,0,0,0,0,10,0,0.25,?
0.146097,0.126446,1.628413,7.85,9.15,9.5,2.65,10,0,2.25,?
0.204512,0.018548,1.628413,13.95,9.625,15.75,3.95,10,0,1.5,?
0.006791,0,1.628413,0,0,0,0,10,0,0,?
0.187918,0.077925,1.628413,13.15,6.7,16.25,3.625,10,0,3.25,?
0,0,1.628413,0.95,0.2,0,0.125,10,0,0.25,?
0.190292,0,1.735626,1.05,0.45,0,0.15,9,0,0.25,?
0.082295,0.003192,1.735626,0,0.15,1.5,0.125,9,0,0.5,?
0,0.192079,1.735626,8.45,12.625,1,2.2,9,0,2.25,?
0.324032,0.142861,1.735626,15.25,11.875,24.25,5.125,9,0,3,?
0.183376,0.162486,1.735626,12.1,9.2,17.5,3.9,9,0,4.25,?
0.074186,0.0421,1.735626,18.7,15.875,9.5,4.425,9,0,2.25,?
0.193543,0.004941,1.735626,19.1,4.95,15.25,3.925,9,0,4,?
0.031608,0.137001,1.735626,7.6,17.625,8.5,3.375,9,0,1.5,?
0.044367,0.047304,1.735626,1.45,7.525,4,1.3,9,0,1,?
0.030804,0.030273,1.735626,0,0,0,0,9,0,0,?
0,0,1.735626,0,0,0,0,9,0,0,?
0.050489,0.074567,1.64241,15.8,15.425,6.25,3.75,2,0,2,?
0.062308,0.022355,1.64241,6.75,4.875,9.25,2.1,2,0,1.75,?
0.151135,0.211769,1.64241,14.5,22.7,15.75,5.325,2,0,2.75,?
0.013007,0.160546,1.64241,0.45,1.8,0.5,0.275,2,0,0.25,?
0.102393,0.121569,1.64241,20.1,9.175,18.25,4.75,2,0,4.5,?
0,0.178259,1.64241,2.95,4.35,0.5,0.775,2,0,0.5,?
