name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Teemu Pukki,FWD,0.5714411404915154,0.3443717658519745,2.26946,25.7,15.149999999999999,42.0,8.274999999999999,8,0,5.75,?
Che Adams,FWD,0.3662321139127016,0.2502438873052597,2.0025157499999997,10.8,15.4,30.75,5.725,8,1,2.75,?
Che Adams,FWD,0.3662321139127016,0.2502438873052597,2.0025157499999997,10.8,15.4,30.75,5.725,1,0,2.75,?
Armando Broja,FWD,0.11452101543545723,0.031278399750590324,2.0025157499999997,0.8500000000000001,6.825,10.5,1.8,8,1,1.25,?
Armando Broja,FWD,0.11452101543545723,0.031278399750590324,2.0025157499999997,0.8500000000000001,6.825,10.5,1.8,1,0,1.25,?
Adam Armstrong,FWD,0.014859388582408428,0.0,2.0025157499999997,0.15,1.55,4.0,0.525,8,1,0.5,?
Adam Armstrong,FWD,0.014859388582408428,0.0,2.0025157499999997,0.15,1.55,4.0,0.525,1,0,0.5,?
Harry Kane,FWD,0.6068687699735165,0.6280991286039352,0.9279865,38.15,40.625,40.75,11.95,6,1,8.75,?
Dane Scarlett,FWD,0.0,0.0,0.9279865,0.0,0.0,0.0,0.0,6,1,0.0,?
João Pedro Junqueira de Jesus,FWD,0.1246085362508893,0.13624852150678635,1.484863,6.5,8.625,9.5,2.475,4,1,1.5,?
Emmanuel Dennis,FWD,0.03484938759356737,0.028541123494505882,1.484863,6.65,7.825,8.75,2.35,4,1,1.5,?
Joshua King,FWD,0.022817721590399742,0.05741594918072224,1.484863,1.35,5.575,3.0,1.0,4,1,1.0,?
Michail Antonio,FWD,0.25357822328805923,0.03506250539794564,1.5287615,3.9,13.05,19.5,3.45,1,1,2.0,?
