name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Trevoh Chalobah,DEF,0.1066356673836708,0.018482742831110954,1.0526765,18.0,1.3,8.25,2.75,8,1,4.0,?
James Tomkins,DEF,0.16794762294739485,0.0,1.170575,0.0,0.0,0.0,0.0,2,0,0.0,?
Cheikhou Kouyaté,DEF,0.022251665592193604,0.02646879479289055,1.170575,8.899999999999999,3.1500000000000004,1.75,1.3749999999999998,2,0,4.25,?
Martin Kelly,DEF,0,0,1.170575,0.0,0.0,0.0,0.0,2,0,0.0,?
Joel Ward,DEF,0.0,0.004870956763625145,1.170575,4.45,0.225,0.0,0.475,2,0,0.0,?
Marc Guéhi,DEF,0.0,0.022251665592193604,1.170575,16.650000000000002,3.0,3.0,2.25,2,0,4.75,?
Joachim Andersen,DEF,0.04438105598092079,0.19996878132224083,1.170575,27.65,13.000000000000002,5.25,4.6,2,0,7.0,?
Nathaniel Clyne,DEF,0.0,0.01226130872964859,1.170575,8.8,3.025,0.0,1.1749999999999998,2,0,4.75,?
Seamus Coleman,DEF,0.01548931747674942,0.04175176378339529,1.31533675,8.15,3.875,5.5,1.75,5,1,3.25,?
Michael Keane,DEF,0.012641889043152332,0.0,1.31533675,13.6,0.22499999999999998,1.5,1.55,5,1,2.75,?
Mason Holgate,DEF,0.05103760212659836,0.0039848643355071545,1.31533675,16.6,0.7,8.25,2.575,5,1,3.5,?
Ben Godfrey,DEF,0.02197202341631055,0.02038727141916752,1.31533675,18.700000000000003,3.425,5.75,2.8,5,1,3.25,?
Jonjoe Kenny,DEF,0.007481707725673914,0.05725711118429899,1.31533675,8.35,13.25,3.5,2.525,5,1,0.5,?
Jarrad Branthwaite,DEF,0.15055510541424155,0.0,1.31533675,2.4,0.075,1.0,0.35,5,1,0.25,?
Vitalii Mykolenko,DEF,0.00406514760106802,0.05445730406790972,1.31533675,13.149999999999999,9.9,2.25,2.55,5,1,3.5,?
Jonny Evans,DEF,0.0,0.02382867969572544,1.7727767500000002,4.25,0.225,0.0,0.45,2,0,1.75,?
Jonny Evans,DEF,0.0,0.02382867969572544,1.7727767500000002,4.25,0.225,0.0,0.45,3,0,1.75,?
Ricardo Domingos Barbosa Pereira,DEF,0.07607909850776196,0.022355051711201668,1.7727767500000002,1.4,0.475,0.5,0.25,2,0,0.25,?
Ricardo Domingos Barbosa Pereira,DEF,0.07607909850776196,0.022355051711201668,1.7727767500000002,1.4,0.475,0.5,0.25,3,0,0.25,?
Daniel Amartey,DEF,0.0,0.0,1.7727767500000002,16.35,1.1749999999999998,0.0,1.7750000000000001,2,0,1.5,?
Daniel Amartey,DEF,0.0,0.0,1.7727767500000002,16.35,1.1749999999999998,0.0,1.7750000000000001,3,0,1.5,?
Timothy Castagne,DEF,0.006483972072601318,0.043358827009797096,1.7727767500000002,14.899999999999999,3.7750000000000004,1.75,2.05,2,0,4.25,?
Timothy Castagne,DEF,0.006483972072601318,0.043358827009797096,1.7727767500000002,14.899999999999999,3.7750000000000004,1.75,2.05,3,0,4.25,?
Çaglar Söyüncü,DEF,0.014197967946529388,0.0046094912104308605,1.7727767500000002,17.25,3.1,1.5,2.2,2,0,1.0,?
Çaglar Söyüncü,DEF,0.014197967946529388,0.0046094912104308605,1.7727767500000002,17.25,3.1,1.5,2.2,3,0,1.0,?
James Justin,DEF,0.12185727246105671,0.11714822240173817,1.7727767500000002,14.600000000000001,10.2,16.75,4.175000000000001,2,0,1.75,?
James Justin,DEF,0.12185727246105671,0.11714822240173817,1.7727767500000002,14.600000000000001,10.2,16.75,4.175000000000001,3,0,1.75,?
Luke Thomas,DEF,0.009398999623954296,0.022373748011887074,1.7727767500000002,12.25,5.625,1.0,1.9000000000000001,2,0,0.5,?
Luke Thomas,DEF,0.009398999623954296,0.022373748011887074,1.7727767500000002,12.25,5.625,1.0,1.9000000000000001,3,0,0.5,?
Wesley Fofana,DEF,0.032455332577228546,0.0,1.7727767500000002,3.85,0.15,4.75,0.875,2,0,0.25,?
Wesley Fofana,DEF,0.032455332577228546,0.0,1.7727767500000002,3.85,0.15,4.75,0.875,3,0,0.25,?
Jannik Vestergaard,DEF,0.0,0.0,1.7727767500000002,0.0,0.0,0.0,0.0,2,0,0.0,?
Jannik Vestergaard,DEF,0.0,0.0,1.7727767500000002,0.0,0.0,0.0,0.0,3,0,0.0,?
Joel Matip,DEF,0.03656001854687929,0.05673598870635033,0.8158395,23.25,5.125,11.75,4.025,8,1,6.75,?
Virgil van Dijk,DEF,0.014450156595557928,0.0,0.8158395,17.0,1.225,6.25,2.425,8,1,5.0,?
Andrew Robertson,DEF,0.022529867943376303,0.2624821327626705,0.8158395,18.25,19.65,6.25,4.425,8,1,6.0,?
Trent Alexander-Arnold,DEF,0.04748970316722989,0.5004444941878319,0.8158395,16.45,28.95,6.25,5.1499999999999995,8,1,4.25,?
Joseph Gomez,DEF,0.0,0.14836336951702833,0.8158395,8.75,5.7,0.0,1.45,8,1,2.5,?
Ibrahima Konaté,DEF,0.017796307802200317,0.0,0.8158395,0.0,0.0,0.0,0.0,8,1,0.0,?
Konstantinos Tsimikas,DEF,0.11342110531404614,0.19658161234110594,0.8158395,0.0,0.0,0.0,0.0,8,1,0.0,?
Kyle Walker,DEF,0.003699240041896701,0.019740084651857615,0.5486840749999999,11.05,9.4,3.25,2.375,6,1,3.75,?
John Stones,DEF,0.012523600598797202,0.032475545071065426,0.5486840749999999,13.049999999999999,6.7,3.0,2.2750000000000004,6,1,2.5,?
João Pedro Cavaco Cancelo,DEF,0.04197965795174241,0.20281671360135078,0.5486840749999999,20.85,21.575000000000003,15.5,5.8,6,1,5.5,?
Nathan Aké,DEF,0.16039352118968964,0.1543188989162445,0.5486840749999999,5.25,0.225,0.0,0.55,6,1,1.5,?
Aymeric Laporte,DEF,0.1390615850687027,0.012962650507688522,0.5486840749999999,15.8,4.525,3.0,2.3249999999999997,6,1,3.75,?
Oleksandr Zinchenko,DEF,0.014320841990411282,0.11646073684096336,0.5486840749999999,0.0,0.0,0.0,0.0,6,1,0.0,?
Harry Maguire,DEF,0.04317149240523577,0.019358394667506218,1.4504387499999998,23.45,4.1,17.25,4.475,2,1,0.5,?
Harry Maguire,DEF,0.04317149240523577,0.019358394667506218,1.4504387499999998,23.45,4.1,17.25,4.475,10,0,0.5,?
Alex Nicolao Telles,DEF,0.01923391968011856,0.06374658993445337,1.4504387499999998,17.65,20.75,7.5,4.575,2,1,1.75,?
Alex Nicolao Telles,DEF,0.01923391968011856,0.06374658993445337,1.4504387499999998,17.65,20.75,7.5,4.575,10,0,1.75,?
Victor Lindelöf,DEF,0.019207380712032318,0.004571017809212208,1.4504387499999998,6.199999999999999,0.425,1.5,0.8250000000000001,2,1,0.75,?
Victor Lindelöf,DEF,0.019207380712032318,0.004571017809212208,1.4504387499999998,6.199999999999999,0.425,1.5,0.8250000000000001,10,0,0.75,?
