name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Cédric Soares,DEF,0.03910513408482075,0.143235357478261,0.90676175,16.05,26.200000000000003,2.75,4.5249999999999995,8,1,1.0,?
Rob Holding,DEF,0.0,0.0,0.90676175,5.6,0.025,0.0,0.575,8,1,0.25,?
Gabriel Magalhães,DEF,0.06066094385460019,0.01728018349967897,0.90676175,18.65,12.05,21.25,5.2,8,1,1.0,?
Ben White,DEF,0.0,0.0,0.90676175,14.9,2.7,1.5,1.9,8,1,1.0,?
Nuno Varela Tavares,DEF,0.02957176323980093,0.01985919661819935,0.90676175,5.35,8.299999999999999,8.0,2.175,8,1,0.75,?
Calum Chambers,DEF,0.03398982062935829,0.0,1.33375275,2.45,0.05,5.0,0.75,6,0,0.25,?
Tyrone Mings,DEF,0.030477574095129967,0.029519950971007347,1.33375275,12.100000000000001,5.75,6.5,2.4250000000000003,6,0,0.75,?
Matthew Cash,DEF,0.11031904444098473,0.0,1.33375275,13.049999999999999,3.2249999999999996,16.75,3.3,6,0,1.0,?
Ezri Konsa Ngoyo,DEF,0.013815177604556084,0.012385163456201553,1.33375275,11.7,0.95,9.5,2.2,6,0,0.5,?
Ashley Young,DEF,0.0,0.08435710705816746,1.33375275,6.65,11.925,1.5,2.0,6,0,0.5,?
Pontus Jansson,DEF,0.3534540832042694,0.01658812304958701,1.079356,26.2,5.35,32.25,6.4,9,1,3.25,?
Rico Henry,DEF,0.0,0.1403997866436839,1.079356,14.5,21.225,0.0,3.5500000000000003,9,1,3.0,?
Mads Roerslev Rasmussen,DEF,0.0,0.0,1.079356,2.4499999999999997,1.0,1.0,0.45,9,1,1.0,?
Mads Bech Sørensen,DEF,0.014670130796730518,0.057153891772031784,1.079356,4.95,6.075,0.0,1.1,9,1,0.5,?
Kristoffer Ajer,DEF,0.04822547920048237,0.2717805281281471,1.079356,19.55,9.850000000000001,18.75,4.8,9,1,3.5,?
Finley Stevens,DEF,0.0,0.028888171538710594,1.079356,0.0,0.0,0.0,0.0,9,1,0.0,?
Lewis Dunk,DEF,0.036576738115400076,0.07763917022384703,1.2400805,16.700000000000003,5.500000000000001,15.5,3.8000000000000003,4,1,3.25,?
Adam Webster,DEF,0.29633426666259766,0.0,1.2400805,2.75,0.025,0.5,0.32499999999999996,4,1,0.0,?
Joël Veltman,DEF,0.11581677943468094,0.0,1.2400805,17.4,0.85,19.0,3.725,4,1,4.0,?
Tariq Lamptey,DEF,0.0222739833407104,0.014409712515771389,1.2400805,4.15,6.775,6.75,1.7750000000000001,4,1,4.0,?
Marc Cucurella,DEF,0.008871928788721561,0.03881993517279625,1.2400805,22.45,15.075000000000001,1.5,3.9250000000000003,4,1,4.75,?
James Tarkowski,DEF,0.12306706607341766,0.018030580133199692,2.02454,28.25,3.025,9.5,4.074999999999999,7,1,2.25,?
Phil Bardsley,DEF,0,0,2.02454,0.0,0.0,0.0,0.0,7,1,0.0,?
Kevin Long,DEF,0.01239841990172863,0.0,2.02454,0.0,0.0,0.0,0.0,7,1,0.0,?
Matthew Lowton,DEF,0.016248192638158798,0.012171526439487934,2.02454,6.7,7.1499999999999995,3.5,1.725,7,1,2.0,?
Charlie Taylor,DEF,0.015030063688755035,0.24793954007327557,2.02454,18.9,12.875,3.5,3.525,7,1,3.0,?
Nathan Collins,DEF,0.25652381777763367,0.13630208373069763,2.02454,39.05,3.1750000000000003,22.0,6.425000000000001,7,1,5.75,?
Connor Roberts,DEF,0.005203098990023136,0.04047894850373268,2.02454,17.5,6.625,3.75,2.8000000000000003,7,1,4.25,?
César Azpilicueta,DEF,0.028597024735063314,0.05686109606176615,1.2795732499999999,14.05,6.0,7.75,2.775,7,1,1.25,?
César Azpilicueta,DEF,0.028597024735063314,0.05686109606176615,1.2795732499999999,14.05,6.0,7.75,2.775,8,0,1.25,?
Thiago Emiliano da Silva,DEF,0.0,0.0035639735870063305,1.2795732499999999,11.15,3.5250000000000004,0.0,1.475,7,1,1.5,?
Thiago Emiliano da Silva,DEF,0.0,0.0035639735870063305,1.2795732499999999,11.15,3.5250000000000004,0.0,1.475,8,0,1.5,?
Marcos Alonso,DEF,0.21216621063649654,0.29650033731013536,1.2795732499999999,21.299999999999997,23.875,42.25,8.75,7,1,3.5,?
Marcos Alonso,DEF,0.21216621063649654,0.29650033731013536,1.2795732499999999,21.299999999999997,23.875,42.25,8.75,8,0,3.5,?
Reece James,DEF,0.04055912746116519,0.2264530509710312,1.2795732499999999,6.65,4.125,0.75,1.15,7,1,0.25,?
Reece James,DEF,0.04055912746116519,0.2264530509710312,1.2795732499999999,6.65,4.125,0.75,1.15,8,0,0.25,?
Malang Sarr,DEF,0.005163038615137339,0.09049440175294876,1.2795732499999999,5.949999999999999,3.075,0.0,0.9,7,1,1.75,?
Malang Sarr,DEF,0.005163038615137339,0.09049440175294876,1.2795732499999999,5.949999999999999,3.075,0.0,0.9,8,0,1.75,?
Trevoh Chalobah,DEF,0.1066356673836708,0.018482742831110954,1.2795732499999999,5.9,0.65,0.0,0.65,7,1,2.25,?
Trevoh Chalobah,DEF,0.1066356673836708,0.018482742831110954,1.2795732499999999,5.9,0.65,0.0,0.65,8,0,2.25,?
James Tomkins,DEF,0.16794762294739485,0.0,1.1848225000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
