name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Wilfried Zaha,MID,0.586918531,0.061755966,1.1848225,24.55,14.45,35.25,7.45,3,1,4.5,?
Jeffrey Schlupp,MID,0.023709109,0.044007145,1.1848225,14.25,8.05,9,3.1,3,1,2.5,?
Jairo Riedewald,MID,0,0.017874788,1.1848225,0,0,0,0,3,1,0,?
Eberechi Eze,MID,0,0.027604519,1.1848225,1.2,4.2,0.5,0.6,3,1,0.25,?
Will Hughes,MID,0.015830824,0.01187958,1.1848225,0,0,0,0,3,1,0,?
Michael Olise,MID,0.117074804,0.192069812,1.1848225,2.45,2.875,1.5,0.675,3,1,1,?
Jesurun Rak-Sakyi,MID,0,0,1.1848225,0,0,0,0,3,1,0,?
Anwar El Ghazi,MID,0.007013971,0.017482929,1.3224125,0,0,0,0,10,0,0,?
Fabian Delph,MID,0,0.00524667,1.3224125,13.25,3.225,0,1.65,10,0,1.25,?
Allan Marques Loureiro,MID,0.010086572,0.015489317,1.3224125,4.35,0.75,4.5,0.95,10,0,1,?
André Filipe Tavares Gomes,MID,0.006076192,0,1.3224125,0,0,0,0,10,0,0,?
Abdoulaye Doucouré,MID,0.009986495,0.017484868,1.3224125,5.3,7.1,2,1.45,10,0,1.25,?
Alex Iwobi,MID,0.035562713,0.061420628,1.3224125,8.85,26.25,8.25,4.35,10,0,2.25,?
Donny van de Beek,MID,0.02281918,0.006191403,1.3224125,0,0,0,0,10,0,0,?
Bamidele Alli,MID,0,0.023437988,1.3224125,0.75,1.325,0,0.2,10,0,0,?
Demarai Gray,MID,0.05374366,0.096741807,1.3224125,5.75,16.625,14.75,3.725,10,0,1.5,?
Anthony Gordon,MID,0.080393463,0.339942297,1.3224125,17.9,26.7,23,6.75,10,0,4.75,?
Tyler Onyango,MID,0.010572066,0,1.3224125,0,0,0,0,10,0,0,?
Marc Albrighton,MID,0.018199524,0.301864024,1.66523175,0,0,0,0,3,1,0,?
Nampalys Mendy,MID,0,0.006796473,1.66523175,7.25,5.625,0,1.275,3,1,2,?
Youri Tielemans,MID,0.035019203,0.019168431,1.66523175,14.05,8.675,8.25,3.125,3,1,2,?
Ayoze Pérez,MID,0.037040892,0.027935266,1.66523175,4.95,4,5.5,1.45,3,1,1,?
James Maddison,MID,0.182374276,0.2104057,1.66523175,18.35,31.8,29,7.925,3,1,3.75,?
Hamza Choudhury,MID,0.005056706,0,1.66523175,0.25,0,0,0.025,3,1,0.25,?
Harvey Barnes,MID,0.132360213,0.040144439,1.66523175,11.7,8.85,21.75,4.225,3,1,3.75,?
Kiernan Dewsbury-Hall,MID,0.081782226,0.092381158,1.66523175,24.45,20.3,17.75,6.25,3,1,4.75,?
Ademola Lookman,MID,0.078028342,0.054705309,1.66523175,19.7,10.075,14,4.375,3,1,4.25,?
Mateusz Klich,MID,0.015827106,0.037631694,1.44508,8.05,8.825,5.5,2.225,4,0,1.5,?
Stuart Dallas,MID,0.015567969,0.148681697,1.44508,18.1,15.075,5.75,3.9,4,0,2.25,?
Kalvin Phillips,MID,0.028538933,0.008979249,1.44508,4,0.325,1.75,0.625,4,0,0.5,?
Raphael Dias Belloli,MID,0.295269499,0.338387122,1.44508,21.9,20.975,23,6.575,4,0,5,?
Jack Harrison,MID,0.338645327,0.269927099,1.44508,38.55,18.1,25.75,8.225,4,0,6.5,?
Daniel James,MID,0.290386687,0.215005884,1.44508,10.9,14.35,29.5,5.475,4,0,3.25,?
Crysencio Summerville,MID,0.080597806,0.012138557,1.44508,1.3,2.55,0,0.375,4,0,0.25,?
Liam McCarron,MID,0,0,1.44508,0,0,0,0,4,0,0,?
Stuart McKinstry,MID,0,0,1.44508,0,0,0,0,4,0,0,?
Lewis Bate,MID,0,0,1.44508,0,0,0,0,4,0,0,?
James Milner,MID,0,0,0.68606725,0.15,0.075,0,0.025,2,1,0.5,?
Jordan Henderson,MID,0.014834096,0.044634801,0.68606725,7.35,17.375,2,2.675,2,1,2.75,?
Thiago Alcántara do Nascimento,MID,0.01720411,0.144268636,0.68606725,25.3,27.75,3,5.6,2,1,3.25,?
Alex Oxlade-Chamberlain,MID,0.184300978,0.075896034,0.68606725,0,0,0,0,2,1,0,?
Sadio Mané,MID,0.20248091,0.094389172,0.68606725,22.9,9.15,22,5.4,2,1,6,?
Fabio Henrique Tavares,MID,0.193301914,0.116680618,0.68606725,17.45,8.75,6.25,3.25,2,1,3.5,?
Mohamed Salah,MID,0.339524327,0.350472425,0.68606725,28.9,19.325,38.75,8.675,2,1,7,?
Takumi Minamino,MID,0.16104345,0.122780286,0.68606725,0,0,0,0,2,1,0,?
Naby Keita,MID,0.022996533,0.029601235,0.68606725,1.15,0.575,0.5,0.225,2,1,0.25,?
Diogo Jota,MID,0.516236862,0.096979413,0.68606725,31.1,15.075,37,8.325,2,1,7.75,?
Curtis Jones,MID,0.070235766,0.065256316,0.68606725,1.05,9.325,1,1.125,2,1,1,?
Harvey Elliott,MID,0.120205201,0.107228771,0.68606725,0,0,0,0,2,1,0,?
Tyler Morton,MID,0,0,0.68606725,0,0,0,0,2,1,0,?
Kaide Gordon,MID,0.491121143,0,0.68606725,0,0,0,0,2,1,0,?
Luis Díaz,MID,0.307970867,0.085543662,0.68606725,14.95,4.85,14,3.375,2,1,3.5,?
Jack Grealish,MID,0.05919996,0.382611247,0.487577075,4.85,18.2,19.5,4.25,1,1,1.5,?
Ilkay Gündogan,MID,0.170512997,0.159727609,0.487577075,11.9,5.4,20,3.75,1,1,3,?
Kevin De Bruyne,MID,0.091576241,0.306569848,0.487577075,30.85,47.35,22.5,10.075,1,1,7.25,?
Riyad Mahrez,MID,0.476947181,0.044629645,0.487577075,17.25,14.25,28.25,5.875,1,1,4.5,?
Raheem Sterling,MID,0.154315766,0.149490303,0.487577075,10.55,13.05,13.5,3.725,1,1,3.25,?
Bernardo Mota Veiga de Carvalho e Silva,MID,0.262682952,0.080103777,0.487577075,22.1,20.625,15.75,5.875,1,1,4.25,?
Phil Foden,MID,0.116223007,0.052381901,0.487577075,14.35,18.85,28.5,6.175,1,1,4.5,?
Rodrigo Hernandez,MID,0.081733547,0,0.487577075,12.65,6.35,17,3.625,1,1,2.75,?
Fernando Luiz Rosa,MID,0.195286008,0.185924483,0.487577075,0,0,0,0,1,1,0,?
Cole Palmer,MID,0.070180342,0.11161124,0.487577075,0,0,0,0,1,1,0,?
James McAtee,MID,0.044324361,0,0.487577075,0,0,0,0,1,1,0,?
Nemanja Matic,MID,0,0,1.37272125,5.85,2.975,0,0.9,8,0,1.5,?
Nemanja Matic,MID,0,0,1.37272125,5.85,2.975,0,0.9,9,1,1.5,?
Jesse Lingard,MID,0.058826782,0.0966495,1.37272125,6.4,16.725,8,3.1,8,0,1,?
Jesse Lingard,MID,0.058826782,0.0966495,1.37272125,6.4,16.725,8,3.1,9,1,1,?
Bruno Miguel Borges Fernandes,MID,0.084424358,0.08955749,1.37272125,17.9,24.25,25.5,6.75,8,0,2.5,?
Bruno Miguel Borges Fernandes,MID,0.084424358,0.08955749,1.37272125,17.9,24.25,25.5,6.75,9,1,2.5,?
Marcus Rashford,MID,0.049480665,0,1.37272125,2.4,3.9,16,2.225,8,0,1.5,?
Marcus Rashford,MID,0.049480665,0,1.37272125,2.4,3.9,16,2.225,9,1,1.5,?
Scott McTominay,MID,0.025798055,0.032240115,1.37272125,0.6,0.4,1,0.2,8,0,0,?
Scott McTominay,MID,0.025798055,0.032240115,1.37272125,0.6,0.4,1,0.2,9,1,0,?
Juan Mata,MID,0.089678824,0,1.37272125,2.45,4.175,7,1.35,8,0,0.5,?
Juan Mata,MID,0.089678824,0,1.37272125,2.45,4.175,7,1.35,9,1,0.5,?
Jadon Sancho,MID,0.087092738,0.113081962,1.37272125,9.7,29.925,27,6.675,8,0,1.75,?
Jadon Sancho,MID,0.087092738,0.113081962,1.37272125,9.7,29.925,27,6.675,9,1,1.75,?
Anthony Elanga,MID,0.063806821,0.168681353,1.37272125,12.2,12.675,18.75,4.375,8,0,3.75,?
Anthony Elanga,MID,0.063806821,0.168681353,1.37272125,12.2,12.675,18.75,4.375,9,1,3.75,?
Hannibal Mejbri,MID,0,0,1.37272125,0,0.15,0,0,8,0,0,?
Hannibal Mejbri,MID,0,0,1.37272125,0,0.15,0,0,9,1,0,?
Joseph Willock,MID,0.095218774,0.018098516,1.22220975,2.6,0.625,7,1.025,1,0,2.5,?
Jonjo Shelvey,MID,0.016793615,0.029401522,1.22220975,10.75,7.4,4,2.225,1,0,2.5,?
Jacob Murphy,MID,0,0.010658584,1.22220975,2.75,2.775,0,0.55,1,0,1,?
Miguel Almirón,MID,0.166465906,0.033516833,1.22220975,12.6,6.375,31.5,5.075,1,0,3,?
Sean Longstaff,MID,0.004632341,0,1.22220975,0.25,0,0,0.025,1,0,0.5,?
Billy Gilmour,MID,0.045092905,0.04089626,2.1536025,4.05,5.55,4.5,1.4,5,1,1.25,?
Kenny McLean,MID,0.14510712,0.052594622,2.1536025,21.75,11.4,16.75,5,5,1,3.5,?
Kieran Dowell,MID,0.147084191,0.15443828,2.1536025,16.6,21.125,9,4.675,5,1,3.75,?
Przemyslaw Placheta,MID,0,0,2.1536025,0.35,0.1,1,0.15,5,1,0.25,?
Milot Rashica,MID,0.208435826,0.009073168,2.1536025,7.4,7.975,31.25,4.65,5,1,2.5,?
Pierre Lees-Melou,MID,0.043761071,0.132748727,2.1536025,13.3,12.35,8.5,3.425,5,1,3.5,?
Christos Tzolis,MID,0.002887167,0.032048807,2.1536025,0.05,0.125,0.5,0.075,5,1,0.5,?
Mathias Normann,MID,0.017374897,0.165161159,2.1536025,16,13.2,1.5,3.075,5,1,3,?
Jonathan Rowe,MID,0.029408762,0,2.1536025,0.8,0.175,5.75,0.675,5,1,0.75,?
Theo Walcott,MID,0.023683554,0,2.3503575,0,0,0,0,6,0,0,?
Oriol Romeu Vidal,MID,0.129600197,0.191851133,2.3503575,7.55,12.075,4.75,2.4,6,0,2,?
Nathan Redmond,MID,0.010063498,0.138509085,2.3503575,2.35,5.475,0.5,0.825,6,0,0.5,?
Stuart Armstrong,MID,0.043195696,0.034570337,2.3503575,8.85,13.95,11.75,3.475,6,0,2,?
James Ward-Prowse,MID,0.047652198,0.191877059,2.3503575,21.5,31.3,7.25,6,6,0,4.25,?
Nathan Tella,MID,0.031558607,0,2.3503575,0,0.075,0,0,6,0,0.25,?
William Smallbone,MID,0.022235987,0.016984098,2.3503575,0.65,0.125,0,0.075,6,0,0.25,?
Ibrahima Diallo,MID,0.004462858,0.011409176,2.3503575,3.95,1.675,2.75,0.825,6,0,0.75,?
Moussa Djenepo,MID,0.004579653,0.005338459,2.3503575,0,0,0,0,6,0,0,?
Mohamed Elyounoussi,MID,0.391120676,0.065485026,2.3503575,12.8,11.55,26.25,5.075,6,0,2.75,?
Heung-Min Son,MID,0.652297616,0.287685052,0.84534775,59.55,21.4,45.25,12.625,5,0,12.75,?
Lucas Rodrigues Moura da Silva,MID,0,0.087704189,0.84534775,7.35,3.075,1,1.125,5,0,1.75,?
Pierre-Emile Højbjerg,MID,0.04617108,0.132163443,0.84534775,11.35,9.125,10.75,3.125,5,0,2,?
Harry Winks,MID,0.004270417,0.004730663,0.84534775,1.5,0.4,0.25,0.2,5,0,0.5,?
Steven Bergwijn,MID,0.200986229,0.020531496,0.84534775,8.85,3.075,7.25,1.85,5,0,2.25,?
Dejan Kulusevski,MID,0.072582912,0.352678277,0.84534775,22,24.95,19.75,6.625,5,0,5.5,?
Rodrigo Bentancur,MID,0.017684245,0.007490983,0.84534775,16.15,7.075,3,2.625,5,0,2,?
Moussa Sissoko,MID,0.178780154,0.204500494,1.628413,13.9,18.925,11.25,4.425,10,0,1.5,?
Dan Gosling,MID,0,0,1.628413,0,0,0,0,10,0,0,?
Tom Cleverley,MID,0.016802059,0,1.628413,1.2,0.175,0.5,0.175,10,0,0.5,?
Ken Sema,MID,0,0,1.628413,0,0,0,0,10,0,0.25,?
