@relation MID_gameweek_32

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.020554,0.008979,1.49475,2,0.15,0,0.225,1,0,0.25,?
0.499029,0.394184,1.49475,13.05,21.3,18,5.225,1,0,2.75,?
0.32455,0.274142,1.49475,25.4,19.575,22,6.675,1,0,4.5,?
0.290387,0.204441,1.49475,8.8,12.125,31.5,5.25,1,0,2,?
0.080598,0.003432,1.49475,0,0,0,0,1,0,0,?
0.025995,0.005175,1.49475,11.9,7.35,7.5,2.675,1,0,1.75,?
0,0,1.49475,0,0,0,0,1,0,0,?
0,0,1.49475,0,0,0,0,1,0,0,?
0.008163,0.033498,0.813794,0.7,0.025,0,0.05,10,0,0.75,?
0.022114,0.053466,0.813794,9.5,18.325,3.75,3.15,10,0,3,?
0.017204,0.173559,0.813794,16.95,20.25,2.5,3.975,10,0,2.5,?
0.184301,0.075896,0.813794,0,0,0,0,10,0,0,?
0.379964,0.037519,0.813794,13.75,9.6,43.25,6.675,10,0,3.75,?
0.190292,0.019212,0.813794,17.7,8.05,4.75,3.05,10,0,3.75,?
0.558843,0.048878,0.813794,12.6,12.825,59,8.425,10,0,4,?
0.161043,0.12278,0.813794,0,0,0,0,10,0,0,?
0.036636,0.0437,0.813794,4.3,7.125,4.75,1.625,10,0,2.25,?
0.232611,0.062012,0.813794,18.1,10.55,23.5,5.175,10,0,5.25,?
0.070236,0.065256,0.813794,1.05,9.325,1,1.125,10,0,1.25,?
0.120205,0.107229,0.813794,0,0,0,0,10,0,0,?
0,0,0.813794,0,0,0,0,10,0,0,?
0.491121,0,0.813794,0,0,0,0,10,0,0,?
0.293631,0.105213,0.813794,11.5,10.775,27.25,4.975,10,0,3,?
0.0592,0.382611,0.416431,6.95,28.025,27,6.175,10,1,1.75,?
0.284309,0.165207,0.416431,17.45,12.225,11.5,4.15,10,1,4,?
0.326984,0.39424,0.416431,44.15,49.45,42.75,13.65,10,1,8.75,?
0.49754,0,0.416431,19.35,6.05,38.75,6.425,10,1,4.5,?
0.636992,0.153861,0.416431,10.95,13.625,9.75,3.45,10,1,3.5,?
0.3588,0.143391,0.416431,16.45,30.425,32.25,7.925,10,1,3.25,?
0.54133,0.032037,0.416431,11.95,14.95,44.25,7.125,10,1,3.75,?
0.077431,0.033232,0.416431,18.35,13.875,14.5,4.675,10,1,2.75,?
0.195286,0.185924,0.416431,0,0,0,0,10,1,0,?
0.044324,0,0.416431,0,0,0,0,10,1,0,?
0,0.002294,1.470411,8.05,6.9,0,1.5,3,0,1.5,?
0.034472,0.225862,1.470411,8.35,16.075,12,3.65,3,0,2.75,?
0.150808,0.068515,1.470411,32.65,20.675,13.75,6.725,3,0,5,?
0.006679,0.022157,1.470411,0.05,0.075,0,0.025,3,0,0.25,?
0.435886,0.26598,1.470411,8.45,18.575,35.75,6.275,3,0,2.5,?
0,0,1.470411,1.65,1.525,3.5,0.675,3,0,1.25,?
0.025798,0.03224,1.470411,9.25,0.725,1,1.1,3,0,0.5,?
0,0,1.470411,0,0,0,0,3,0,0,?
0.067314,0.222615,1.470411,18.45,19.35,18.75,5.65,3,0,4.25,?
0.168186,0.113279,1.470411,6.3,8.475,14,2.875,3,0,2,?
0,0,1.470411,0,0,0,0,3,0,0,?
0.164748,0.037527,1.796495,7.7,3.85,19.5,3.125,7,1,2.25,?
0.054518,0.126006,1.796495,10,6.65,2.75,1.95,7,1,1.75,?
0.028915,0.058016,1.796495,6.05,15.725,6.5,2.825,7,1,2,?
0.02626,0.04878,1.796495,6.5,12.925,8.5,2.775,7,1,1,?
0.018501,0.02718,1.796495,4.4,7.55,4.25,1.625,7,1,1.75,?
0.020867,0,1.796495,0.4,0.275,0.25,0.075,7,1,0.75,?
0.051494,0.037458,2.46299,6.05,11.525,7.25,2.475,1,1,1.5,?
0.182014,0.013246,2.46299,13.5,4.525,26.75,4.475,1,1,3.25,?
0.019742,0,2.46299,0,0,0,0,1,1,0.25,?
0.175925,0.044757,2.46299,4.95,15.025,17,3.7,1,1,2,?
0.006891,0,2.46299,4.3,3.5,3.5,1.125,1,1,2.75,?
0.024826,0.042942,2.46299,0.05,0.125,0.5,0.075,1,1,0.25,?
0.002724,0,2.46299,8.05,0.95,1.25,1.025,1,1,1.75,?
0.029409,0.042634,2.46299,6.2,5.55,6.25,1.825,1,1,1.75,?
0.023684,0,1.616756,0,0,0,0,9,1,0,?
0.00479,0.222008,1.616756,10.9,19.625,2.25,3.275,9,1,1.5,?
0.010063,0.071301,1.616756,1.8,3.75,2.25,0.775,9,1,0.25,?
0.226607,0.036029,1.616756,18.45,15.275,24.75,5.875,9,1,3.25,?
0.068266,0.132846,1.616756,21.55,46.275,8.5,7.65,9,1,4,?
0.031559,0,1.616756,0,0.075,0,0,9,1,0.25,?
0.033354,0.025476,1.616756,0.3,0.25,0,0.05,9,1,0.25,?
0.004463,0.011409,1.616756,4.4,6.775,2.25,1.35,9,1,0.75,?
0.00458,0.005338,1.616756,0.1,0.2,1,0.125,9,1,0.25,?
0.386728,0.004801,1.616756,16.85,5.075,46.5,6.85,9,1,3.75,?
0.523783,0.334152,0.810732,35.65,31.125,35,10.175,5,0,8,?
0,0.087704,0.810732,6.4,3.25,0,0.975,5,0,1.75,?
0.057193,0.155353,0.810732,16.55,16.475,6.75,3.975,5,0,2.25,?
0.00427,0.004731,0.810732,0.8,0.275,0.25,0.125,5,0,0.5,?
0.107798,0.020531,0.810732,8.8,2.65,5.75,1.725,5,0,2.25,?
0.169496,0.398857,0.810732,18.95,33.8,26,7.9,5,0,4.75,?
0.037036,0.236602,0.810732,24.1,18.975,7.25,5.025,5,0,3.25,?
0.081759,0.156777,1.512102,20.75,26.5,9.5,5.675,3,1,3,?
0,0,1.512102,0,0,0,0,3,1,0,?
0.016802,0.019989,1.512102,4.35,1.05,4.25,0.95,3,1,1.25,?
