name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Eberechi Eze,MID,0.010483071,0.018473309,1.01476325,0,0,0,0,5,0,0,?
Will Hughes,MID,0.015830824,0.01187958,1.01476325,0,0,0,0,5,0,0,?
Jesurun Rak-Sakyi,MID,0,0,1.01476325,0,0,0,0,5,0,0,?
Anwar El Ghazi,MID,0.007013971,0.017482929,1.55238125,0,0,0,0,8,1,0,?
Allan Marques Loureiro,MID,0.002733437,0.036503751,1.55238125,4.45,2.85,0,0.725,8,1,0,?
Abdoulaye Doucouré,MID,0.004251068,0.022479287,1.55238125,6.3,4.325,0.75,1.15,8,1,1.75,?
Alex Iwobi,MID,0.090168819,0.154305939,1.55238125,12.6,13.6,4.75,3.1,8,1,3,?
Bamidele Alli,MID,0.002483765,0.023437988,1.55238125,0,0.15,0,0,8,1,0.25,?
Demarai Gray,MID,0.073020189,0.057354785,1.55238125,4.4,18,16,3.825,8,1,1.75,?
Anthony Gordon,MID,0.038858375,0.046957454,1.55238125,5.9,7.6,5.25,1.9,8,1,1.25,?
Tyler Onyango,MID,0.010572066,0,1.55238125,0,0,0,0,8,1,0,?
Marc Albrighton,MID,0.018199524,0.301864024,1.92683175,7.5,14.125,2.5,2.425,4,1,1.25,?
Nampalys Mendy,MID,0,0.006796473,1.92683175,8.2,4.45,0,1.275,4,1,1.75,?
Youri Tielemans,MID,0.01986082,0.012273028,1.92683175,12.15,2.375,4,1.875,4,1,1.5,?
Ayoze Pérez,MID,0.04472306,0.014583515,1.92683175,0,0,0,0,4,1,0,?
James Maddison,MID,0.03995574,0.300161719,1.92683175,23.8,35.95,4.75,6.45,4,1,4.5,?
Hamza Choudhury,MID,0.005056706,0,1.92683175,1.55,0.1,0,0.175,4,1,1,?
Harvey Barnes,MID,0.296433471,0.011164646,1.92683175,17.9,8.925,39,6.575,4,1,4.75,?
Boubakary Soumaré,MID,0.024982348,0,1.92683175,1,0.075,0,0.1,4,1,0.25,?
Kiernan Dewsbury-Hall,MID,0.025748746,0.089103308,1.92683175,12.45,14.3,5.75,3.275,4,1,2.25,?
