@relation DEF_gameweek_32

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.019207,0.010731,1.470411,6.85,3.3,4.5,1.475,3,0,2.5,?
0,0,1.470411,0,0,0,0,3,0,0,?
0.030888,0.036909,1.470411,10.3,11.75,3,2.525,3,0,1.5,?
0.027368,0.028249,1.470411,8.95,10.325,1.5,2.075,3,0,0.75,?
0,0.004183,1.470411,12.05,3.675,0.5,1.65,3,0,2.25,?
0,0,1.470411,0,0,0,0,3,0,0,?
0.009779,0.036051,1.796495,16.6,18.65,3,3.85,7,1,1.5,?
0.0421,0.033936,1.796495,23.35,6.05,16.5,4.575,7,1,2,?
0.025595,0,1.796495,0,0,0,0,7,1,0,?
0.015223,0,1.796495,3.35,0,1,0.45,7,1,0.75,?
0,0,1.796495,0,0,0,0,7,1,0,?
0,0,1.796495,2.9,0.875,0,0.4,7,1,1,?
0.016963,0.006183,1.796495,4.35,0.75,2.75,0.8,7,1,1.75,?
0.064815,0,1.796495,24.4,1.475,14.5,4.025,7,1,3,?
0.044242,0,1.796495,0,0,0,0,7,1,0,?
0.032228,0,2.46299,20.1,0.35,0.5,2.125,1,1,1.75,?
0.013233,0.014385,2.46299,10.45,3.525,10.75,2.475,1,1,1.75,?
0.027486,0,2.46299,1.9,0.05,1.75,0.375,1,1,0,?
0,0,2.46299,10,0.275,1,1.1,1,1,1.75,?
0,0.024107,2.46299,4.45,2.85,0,0.725,1,1,1.5,?
0,0.013529,1.616756,4.35,0.075,0.5,0.5,9,1,0,?
0.025902,0.109034,1.616756,13.25,9.55,14,3.65,9,1,2.25,?
0.090991,0.005687,1.616756,19.6,4.15,12.5,3.625,9,1,0.5,?
0.186581,0,1.616756,16.3,1.575,23.75,4.15,9,1,1,?
0.041493,0.033838,1.616756,0.6,2.725,1.75,0.475,9,1,-0.25,?
0.033907,0.260687,1.616756,13.95,15.4,4.5,3.4,9,1,0.75,?
0.012537,0.127526,1.616756,1.25,3.75,0.25,0.525,9,1,0,?
0.191493,0.015269,0.810731,16.2,6.75,24.75,4.775,5,0,5.75,?
0.135131,0.006629,0.810731,16.85,3.25,14,3.425,5,0,2.5,?
0.122613,0,0.810731,18.7,2.65,10.25,3.2,5,0,4.25,?
0.016113,0,0.810731,0,0,0,0,5,0,0,?
0,0,0.810731,0,0,0,0,5,0,0,?
0.048834,0.03687,0.810731,27.35,10.575,10.25,4.8,5,0,4.75,?
0.186584,0.035288,0.810731,12.35,8.975,11.25,3.25,5,0,2.5,?
0,0,1.512103,11.1,0.375,0,1.125,3,1,0.5,?
0,0.11072,1.512103,12.1,7.575,1,2.1,3,1,1.75,?
0.016323,0,1.512103,12.85,1.225,1.25,1.525,3,1,1.25,?
0,0,1.512103,0,0,0,0,3,1,0,?
0.025447,0.04386,1.512103,0,0,0,0,3,1,0,?
0.008098,0,1.512103,0,0,0,0,3,1,0,?
0.008475,0.01332,1.512103,0,0,0,0,3,1,0,?
0.016321,0.013245,1.512103,22.7,7.4,1.5,3.175,3,1,1,?
0.00631,0.022714,1.512103,11.55,2.7,4.5,1.875,3,1,0.75,?
0.026324,0,1.612089,19.25,0.775,8.75,2.875,4,0,1.25,?
0.035088,0.049766,1.612089,19.25,12.125,3.5,3.5,4,0,3.25,?
0.165897,0.086816,1.612089,24.5,3,2.75,3.025,4,0,2,?
0,0.029153,1.612089,4.75,4.3,1,1.025,4,0,0.75,?
0,0.185061,1.612089,1.45,1.475,0,0.3,4,0,0,?
0.030148,0.013219,1.612089,0,0,0,0,4,0,0,?
0,0.072958,1.612089,0.5,0,0,0.05,4,0,0.25,?
0,0,1.612089,0,0,0,0,4,0,0,?
0,0,1.407388,12.8,0.65,0.5,1.4,2,0,2,?
0.032743,0,1.407388,18.75,0.95,6.25,2.6,2,0,5.5,?
0,0.005235,1.407388,14.6,3.525,0.5,1.9,2,0,3,?
0.019997,0.144827,1.407388,8.15,7.125,3,1.825,2,0,3,?
0.159834,0.138564,1.407388,27.05,21.175,16,6.425,2,0,7,?
0.002716,0.096188,1.407388,0,0,0,0,2,0,0,?
0.017973,0,1.407388,10.85,0.925,0,1.175,2,0,2.5,?
0.015678,0.055044,1.407388,4.15,9.65,3.5,1.75,2,0,2.5,?
0,0,1.407388,0,0,0,0,2,0,0,?
