avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0,0,2.16794,50.4,0,0,5.066666667,6,1,5.666666667,1,no
0,0,2.119772,30.7,0,0,3.075,1,0,3,1,no
0,0,1.652116,26.06666667,0,0,2.633333333,7,1,2.333333333,1,no
0,0,2.161452,23.2,0,0,2.325,5,1,2.25,1,no
0,0,1.19948325,10.8,0,0,1.075,6,1,2.5,1,no
0,0,1.31916875,26.5,0,0,2.65,10,0,3.25,1,no
0,0,2.0573695,13.3,0,0,1.325,2,1,2.5,1,no
0,0,0.9027725,23.85,0.025,0,2.4,9,0,6,1,no
0,0,1.01426675,17.2,0,0,1.725,10,1,5.75,1,no
0,0,2.4359925,14.55,0,0,1.45,8,1,1.25,1,no
0,0,1.4253865,30.8,0,0,3.075,5,0,2.5,1,no
0,0,0.45538325,7.6,0,0,0.75,10,1,2.5,1,no
0,0,1.12760925,15,0,0,1.525,5,1,3.25,1,no
0,0,1.31254025,20.15,0,0,2.025,1,1,3.75,1,no
0,0,1.43702875,14.5,0,0,1.45,6,1,3,1,no
0,0,1.7637215,22.45,0,0,2.25,3,0,2,1,no
0,0,1.16627425,26.45,0,0,2.65,10,0,4.25,1,no
0,0,1.425019,14.6,0,0,1.475,10,0,3,1,no
0,0,1.427561,13.5,0,0,1.35,10,1,1.75,1,no
0,0,0.70292175,11.2,0,0,1.125,2,0,4,1,no
0,0,1.5388865,30.45,0,0,3.025,7,1,4.75,1,no
0,0,1.421359,13.55,0,0,1.375,3,1,2.75,1,no
0,0.013734818,1.20732925,18.2,2.55,0,2.075,9,0,3.75,1,no
0,0,1.918991,23.4,0,0,2.35,5,1,3.5,1,no
0,0,1.23166375,26.5,0,0,2.65,3,1,2.5,1,no
0,0,2.2690075,23.05,0,0,2.3,2,0,3.5,1,no
0,0,1.0249905,21.2,0,0,2.15,8,0,4.5,1,no
0,0,1.1794575,23.7,0,0,2.375,7,0,4,1,no
0,0,1.138329,27.85,0,0,2.8,9,1,3.5,1,no
0,0,1.35416,13.4,0,0,1.35,1,0,2.25,1,no
0,0,1.8005625,18.75,0,0,1.875,9,1,4.25,1,no
0,0,1.29886425,43.4,0,0,4.375,5,1,3.75,1,no
0,0,1.260515,20.55,0,0,2.05,4,0,3.75,1,no
0,0.006981393,1.786057,32.95,2.5,0,3.55,5,1,5.25,1,no
0,0,2.1381775,18.55,0,0,1.85,10,0,4,1,no
0,0,1.28320925,19.45,0,0,1.975,8,1,3,1,no
0,0.006981393,0.70259125,12.1,2.5,0,1.45,3,1,3.25,1,no
0,0,0.66670625,15.15,0,0,1.525,8,0,6.5,1,no
0,0,1.50444625,24.6,0,0,2.475,8,1,6,1,no
0,0,0.563563,28,0,0,2.8,6,0,4.5,1,no
0,0,1.3097855,33.3,0,0,3.3,6,1,4.5,1,no
0,0.072397389,1.25056725,21.8,2.5,0,2.425,3,1,3.75,1,no
0,0,0.85266925,29.9,0,0,2.975,10,1,6,1,no
0,0.072397389,1.7328565,41.5,2.5,0,4.375,10,0,4.5,1,no
0,0.00905408,1.31484225,25.8,2.5,0,2.825,5,1,3,1,no
0,0.00525568,1.4020245,21.35,2.5,0,2.375,8,0,3,1,no
0,0,1.70093675,27.6,0,0,2.75,2,1,5.25,1,no
0,0,1.45235825,25.95,0,0,2.575,2,0,2,1,no
0,0.04035705,2.9874225,49.85,2.5,0,5.225,4,1,3.25,1,no
0,0,1.4125915,26.55,0,0,2.675,9,1,4.75,1,no
0,0.086169355,0.665512,10.1,2.5,0,1.25,9,0,5.25,1,no
0,0,1.1624575,19.8,0,0,1.975,6,0,4,1,no
0,0,1.461711,20.2,0,0,2.05,6,1,4.75,1,no
0,0,2.777625,29.2,0,0,2.95,9,1,1.5,1,no
0,0,1.28385,13.85,0,0,1.375,4,1,2.75,1,no
0,0.014132422,1.5011015,31.9,2.75,0,3.475,10,1,3.25,1,no
0,0,1.09248,24.05,0,0,2.4,3,0,4.75,1,no
0,0,1.030098,23.65,0,0,2.4,4,0,6.25,1,no
0,0,1.10660925,18.25,0,0,1.8,6,0,3,1,no
0,0,2.22762375,16.6,0,0,1.675,7,0,2.5,1,no
0,0,1.2917055,37.4,0,0,3.725,1,0,4.75,1,no
0,0,0.8793865,34.35,0,0,3.45,6,1,3.25,1,no
0,0,2.05862575,15.7,0,0,1.6,8,1,2.25,1,no
0,0.008331365,2.040693,46.6,2.5,0,4.925,6,0,6,1,no
0,0,1.34263175,29.7,0.025,0,2.975,8,1,4.75,1,no
0,0,1.58539775,20.05,0,0,2,2,0,2.5,1,no
0,0,1.773395,30.15,0,0,3,10,1,5,1,no
0,0.008331365,0.9401515,20.45,2.5,0,2.3,7,1,5.25,1,no
0,0,2.5628775,34.35,0,0,3.4,9,0,3.75,1,no
0,0,1.63383425,26.55,0,0,2.65,10,0,6.25,1,no
0,0,1.87247,16.2,0,0,1.6,5,1,8,1,no
0,0,1.18405575,27.15,0,0,2.7,6,0,4.25,1,no
0,0,1.039109,23.9,0,0,2.4,7,0,7,1,no
0,0,0.997514,19.3,0,0,1.925,3,0,2.5,1,no
0,0,1.3505575,10.05,0,0,1,1,0,1.25,1,no
0,0,0.529766,13.35,0,0,1.325,9,0,5.25,1,no
0,0,1.23397325,8,0,0,0.8,9,1,1.25,1,no
0,0,0.866101,22.55,0.025,0,2.275,10,0,5.75,1,no
0,0.099001721,1.508665,22.15,2.5,0,2.45,7,0,3.5,1,no
0,0,1.880197,28.6,0,0,2.85,2,0,3,1,no
0,0,1.09999625,24.9,0,0,2.5,5,0,4.5,1,no
0,0,1.21448775,13.4,0.025,0,1.35,5,1,1.5,1,no
0,0,1.463205,24,0,0,2.4,9,0,5.5,1,no
0,0,1.3773425,20.35,0,0,2.025,2,1,2,1,no
0,0,1.40167275,16.8,0,0,1.675,7,1,2.5,1,no
0,0,1.224859,14.2,0,0,1.425,4,0,2.75,1,no
0,0,1.18030325,31.6,0,0,3.15,10,1,3.75,1,no
0,0.006807199,1.007243,28.15,2.5,0,3.075,1,0,4.5,1,no
0,0,2.266513,33.35,0,0,3.325,9,1,2.5,1,no
0,0,1.29522525,18.65,0,0,1.875,3,0,4,1,no
0,0,1.17643575,19.95,0,0,2,8,1,3,1,no
0,0,1.11374075,19.95,0,0,1.975,10,1,2.5,1,no
0,0,1.52622375,27.8,0,0,2.8,7,0,6.75,1,no
0,0,1.34937775,16.6,0,0,1.65,8,0,3.25,1,no
0,0,2.1677695,30.5,0,0,3.05,10,1,2.75,1,no
0,0,1.5840165,27.85,0,0,2.8,5,1,3.75,1,no
0,0,1.126081,28.2,0,0,2.825,8,0,3.5,1,no
0,0,1.79879225,25.2,0,0,2.525,6,1,4,1,no
0,0,0.83630175,22.65,0,0,2.25,4,0,5.75,1,no
0,0,0.556066,14.95,0,0,1.475,9,1,3.25,1,no
0,0,1.80667,26.85,0,0,2.675,4,1,4,1,no
0,0,1.578731,25.6,0,0,2.575,4,0,3.25,1,no
0,0,1.27801575,24.35,0,0,2.425,5,1,2.75,1,no
0,0,1.139679,16.5,0,0,1.625,10,0,3,1,no
0,0,0.949256,17.3,0,0,1.75,4,0,3.75,1,no
0,0.010820813,1.15126725,17.45,2.5,0,2,9,1,4,1,no
0,0,1.5295325,45.15,0,0,4.525,4,1,6.75,1,no
0,0,0.627447,11.55,0,0,1.15,10,0,3.25,1,no
0,0,1.4732885,13.9,0,0,1.375,9,1,3.25,1,no
0,0,1.87126075,17.15,0,0,1.7,10,0,3,1,no
0,0,1.280461,14.3,0,0,1.425,2,0,2.75,1,no
0,0,1.00909575,21.35,0,0,2.15,3,0,7.5,1,no
0,0.006011181,2.3615475,22,2.5,0,2.45,5,1,1.25,1,no
0,0.137716338,0.77897975,19.2,2.5,0,2.15,3,1,5.5,1,no
0,0,1.08864525,20.95,0,0,2.1,10,0,3,1,no
0,0,2.60022,0,1.1,0,0.1,1,0,1,1,no
0,0,1.35367625,23.85,0,0,2.375,9,1,4.5,1,no
0.020178767,0,0.6927665,20.9,0,1,2.2,10,1,2.5,1,no
0,0,2.22093375,36.1,0,0,3.625,6,1,2.75,1,no
0,0,1.9254775,24.5,0,0,2.45,8,1,3,1,no
0,0,1.71521125,26.35,0,0,2.65,10,0,3,1,no
0.047497981,0.032324761,1.84227575,13.2,8.55,14.75,3.65,3,1,3,1,no
0.023458925,0.039989848,1.81929425,12.7,11.075,10.5,3.425,9,0,3,1,no
0,0,1.61814075,34.65,0,0,3.475,10,0,6,1,no
0,0,1.7827375,31.95,0,0,3.2,7,0,4.5,1,no
0,0,1.623260333,21.4,0,0,2.133333333,5,0,2.333333333,1,no
0,0,2.01368575,26.85,0,0,2.7,9,1,3.75,1,no
0,0,1.9782325,30.6,0,0,3.075,8,1,4.25,1,no
0.004633144,0.025564332,2.12970675,3.5,8.275,4.75,1.625,6,1,1.5,1,no
0,0,2.523635,27.15,0,0,2.725,6,0,1.75,1,no
0,0,1.24065225,25.9,0,0,2.575,3,1,3.5,1,no
0,0,2.05646075,25.8,0,0,2.6,1,0,3.25,1,no
0.004633144,0.012578597,2.00756425,3.45,5.35,3.25,1.175,7,0,1.25,1,no
0,0,1.787275,24.45,0,0,2.425,6,1,5.25,1,no
0,0,1.442874,22.7,0,0,2.25,4,0,3,1,no
0,0,1.27153675,15.8,0,0,1.575,2,0,5,1,no
0,0,1.448544,16,0,0,1.6,5,1,4.25,1,no
0,0,0.976467,20.65,0,0,2.05,9,1,4.75,1,no
