avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.072118636,0.006594919,1.94617,3.75,3.875,6.75,1.45,3,1,1.5,0,no
0,0,2.1498625,1.2,0.575,0.5,0.2,7,0,1,0,no
0.077015609,0.107239179,1.91105,0,10.8,9,1.5,1,0,2,1,no
0,0.063261002,1.18197,3.2,10.5,0,1.4,4,0,1,1,no
0,0,1.4603,0,0.4,0,0,7,0,0,1,no
0,0.027944377,0.445604,17,11.3,0,2.8,7,0,4,1,no
0,0,2.48018,0,0.3,0,0,5,0,1,1,no
0.438469827,0.343906403,1.219174,9.3,18.8,19,4.75,6,1,3,1,no
0.305355608,0.04081462,1.67711,2.9,9.2,41,5.35,1,1,2,1,no
0.502524078,0,1.09877,2.4,0.3,28,3.1,1,1,1,1,no
0,0.013972188,0.433984,8.6,5.9,1,1.55,7,1,2.5,1,no
0.132743761,0,0.853434,65.4,4.8,36,10.6,10,1,12,1,no
0,0.031630501,0.839007,1.6,5.9,0,0.75,7,0,1,1,no
0.077787958,0,0.561215,2.4,0.6,26,2.9,9,1,1,1,no
0.043081269,0.067878701,0.180046,0,13.8,11,2.3,9,1,2,1,no
0.301467539,0.028528793,2.391465,17.1,5.8,13.5,3.65,9,1,3.5,1,no
0.156116351,0,1.445394333,21.53333333,6.633333333,17,4.366666667,3,0,3.666666667,1,no
0,0,1.554929,0,0.15,0,0,2,0,1,1,no
0.24852918,0.185912939,0.985002,5.15,12.925,15.25,3.35,1,1,3,1,no
0.114918664,0.060175169,1.13672,0,11.8,10,2.1,8,0,1,1,no
0.07549919,0.052155233,1.790785,1.466666667,16.23333333,12.66666667,3,4,1,2,1,no
0.021540634,0.03393935,0.934033,1.1,7.05,5.5,1.3,7,1,1.5,1,no
0.233655538,0.023704561,2.346636667,12.46666667,7.4,21.66666667,4.166666667,4,0,2.666666667,1,no
0.630938993,0.187089793,1.00299975,22.9,17.65,56.75,9.725,4,0,5,1,no
0.115531902,0,1.178105,0,0.266666667,2.666666667,0.233333333,2,1,1,1,no
