avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0,0,1.6914815,11.1,0.65,0.5,1.2,8,1,0.75,-1,no
0.021503368,0,0.63991625,31,1,8,4,7,0,4.5,-1,no
0,0,1.6751,0.2,0.3,0,0.1,2,0,1,-1,no
0.006927948,0,1.31254025,14.75,4.175,1,2,1,1,2.25,-1,no
0,0.087033967,1.31715,9.2,3.833333333,2,1.533333333,7,0,0.333333333,-1,no
0,0.065275475,1.677815,11.8,4.325,3.5,1.975,9,1,0,-1,no
0.129815171,0,1.205161,34.25,0.125,16,5.05,6,0,6.25,-1,no
0.038766078,0,1.71981825,22.65,0.375,12.5,3.55,7,0,4.25,-1,no
0,0.04661628,1.59511,11.1,15.6,3.5,3.025,4,0,3.25,-1,no
0.013440256,0.013490855,0.92987425,20.45,6.375,0.25,2.75,10,1,4.25,-1,no
0.041181692,0.012359198,1.37819725,23.15,3.275,9.25,3.575,5,0,1.75,-1,no
0.019980025,0.042413918,3.242855,14.6,5.925,4.75,2.55,6,0,1,-1,no
0.013767176,0,0.87572425,25.05,0.65,5.75,3.15,10,0,3.75,-1,no
0,0.042215988,1.6464255,21.25,9.8,1.5,3.225,10,0,4,-1,no
0.017789139,0.064218527,1.31177225,22.4,14.05,7.75,4.425,3,1,3,-1,no
0,0.011852282,2.03718325,22.8,2.85,3,2.875,8,0,2.25,-1,no
0,0.048608256,1.947675,17.65,13.975,1,3.25,5,0,0.5,-1,no
0,0.155392485,1.629456667,24.93333333,15.5,0.666666667,4.1,4,1,2.333333333,-1,no
0.127516005,0.021671029,1.985085,19.5,3.1,6.25,2.875,9,1,1.5,-1,no
0,0.013683753,2.1599375,12.85,2.85,0,1.55,7,1,0.25,-1,no
0.032708697,0.017900988,0.90535475,26.65,7.775,6.75,4.15,9,0,4.75,-1,no
0,0,1.5717775,25.4,0.525,0.5,2.65,9,0,3.25,-1,no
0.026901958,0.006328018,1.6800375,31.7,3.2,7,4.175,8,1,1.25,-1,no
0.04186369,0.10591872,1.62347,30.4,3,3,3.675,8,0,4.25,-1,no
0.041180392,0.049781455,0.866101,22.75,6.1,8.75,3.75,10,0,4.25,-1,no
0,0,1.54988375,15.3,1.95,0.5,1.775,9,0,1.5,-1,no
0.061828467,0.003312489,1.72567075,14.95,2.725,13.5,3.125,8,0,0.75,-1,no
0.103836462,0.131819457,1.2168205,35.4,2.775,9.75,4.8,8,1,4.75,-1,no
0.024959592,0.221957255,1.126081,24.55,9.05,15,4.875,8,0,3.75,-1,no
0.137406388,0.187428067,0.541351125,16.45,26.7,8.25,5.15,10,0,6.5,-1,no
0.011226615,0.341524567,1.15068725,32.05,11.375,6.25,4.975,5,0,7.25,-1,no
0.014150382,0.114010753,1.6754175,30.45,12.2,5.25,4.8,10,0,1.25,-1,no
0.007964747,0,1.6045575,29.6,0.375,4.5,3.45,10,0,1.5,-1,no
0,0,0.93134525,26.4,0.4,1.5,2.85,6,1,4.5,-1,no
0,0.072733603,0.715382,19.8,26.3,0,4.6,6,0,1,-1,no
0.003022566,0.078936026,0.960758,35.25,6.125,3.25,4.45,4,0,3.5,-1,no
