name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Dale Stephens,MID,0.022307194769382477,0.008636255748569965,1.7350124999999998,0.0,0.0,0.0,0.0,10,1,0.0,?
Ashley Westwood,MID,0.004116751719266176,0.08409910090267658,1.7350124999999998,9.5,14.375,2.5,2.65,10,1,1.5,?
Josh Brownhill,MID,0.015555685386061668,0.07755800243467093,1.7350124999999998,14.45,17.299999999999997,2.25,3.4,10,1,1.75,?
Dwight McNeil,MID,0.22153013944625854,0.07281262055039406,1.7350124999999998,11.0,15.375,18.0,4.449999999999999,10,1,2.0,?
Aaron Lennon,MID,0.022756708320230246,0.03323992341756821,1.7350124999999998,7.3,5.675,7.75,2.0500000000000003,10,1,2.75,?
Maxwel Cornet,MID,0.18423917144536972,0.0,1.7350124999999998,0.44999999999999996,1.375,16.25,1.8250000000000002,10,1,1.5,?
Jorge Luiz Frello Filho,MID,0.00626123184338212,0.10866294847801328,0.67125375,15.850000000000001,12.799999999999999,2.0,3.05,4,1,3.75,?
Ross Barkley,MID,0.1927461251616478,0.14528609439730644,0.67125375,0.0,0.0,0.0,0.0,4,1,0.0,?
Mateo Kovacic,MID,0.004845875781029463,0.09305005520582199,0.67125375,2.2,6.475,0.25,0.9,4,1,1.0,?
N'Golo Kanté,MID,0.08793719112873077,0.1075561661273241,0.67125375,15.250000000000002,19.625,7.25,4.225,4,1,3.25,?
Hakim Ziyech,MID,0.08204479422420263,0.20157327502965927,0.67125375,13.25,11.875,14.75,3.9749999999999996,4,1,3.25,?
Ruben Loftus-Cheek,MID,0.02886042930185795,0.0351555310189724,0.67125375,2.8000000000000003,3.575,1.0,0.725,4,1,0.75,?
Christian Pulisic,MID,0.31263160705566406,0.10784666379913688,0.67125375,15.650000000000002,6.45,18.0,4.025,4,1,4.0,?
Mason Mount,MID,0.2629449535161257,0.27254778519272804,0.67125375,16.8,21.224999999999998,15.75,5.275,4,1,4.75,?
Kai Havertz,MID,0.6564149120822549,0.08467392297461629,0.67125375,43.05,15.125,56.5,11.350000000000001,4,1,8.75,?
Saúl Ñíguez,MID,0.004466175567358732,0.022167816758155823,0.67125375,9.25,9.675,7.25,2.625,4,1,2.0,?
Lewis Hall,MID,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0,?
Harvey Vale,MID,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0,?
Conor Gallagher,MID,0.11777141969650984,0.0057410551235079765,1.1815582500000001,17.25,7.1000000000000005,13.25,3.7750000000000004,8,1,4.5,?
Luka Milivojevic,MID,0.027735762298107147,0.016588186845183372,1.1815582500000001,4.0,0.42500000000000004,2.0,0.625,8,1,0.0,?
Wilfried Zaha,MID,0.3280569165945053,0.19028010964393616,1.1815582500000001,36.15,27.525000000000002,37.5,10.125,8,1,7.0,?
Jeffrey Schlupp,MID,0.16771835088729858,0.03481542598456144,1.1815582500000001,17.35,5.625000000000001,11.75,3.45,8,1,4.5,?
Jairo Riedewald,MID,0.0,0.017874788492918015,1.1815582500000001,0.0,0.0,0.0,0.0,8,1,0.0,?
Eberechi Eze,MID,0.010483071208000183,0.0184733085334301,1.1815582500000001,0.0,0.0,0.0,0.0,8,1,0.0,?
Will Hughes,MID,0.01583082415163517,0.011879580095410347,1.1815582500000001,1.8,0.6,0.5,0.3,8,1,0.5,?
Michael Olise,MID,0.1416698768734932,0.19206981174647808,1.1815582500000001,16.75,16.150000000000002,26.25,5.9,8,1,4.0,?
Jesurun Rak-Sakyi,MID,0.0,0.0,1.1815582500000001,0.0,0.0,0.0,0.0,8,1,0.0,?
Scott Banks,MID,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0,?
Anwar El Ghazi,MID,0.007013970520347357,0.017482928931713104,2.15441375,0.0,0.125,0.0,0.025,2,1,0.25,?
Allan Marques Loureiro,MID,0.02037466992624104,0.038483042269945145,2.15441375,6.75,5.25,1.75,1.375,2,1,0.75,?
André Filipe Tavares Gomes,MID,0.018744554836302996,0.0,2.15441375,0.0,0.0,0.0,0.0,2,1,0.0,?
Abdoulaye Doucouré,MID,0.011701256036758423,0.0403271559625864,2.15441375,10.899999999999999,10.7,2.5,2.4250000000000003,2,1,1.5,?
Alex Iwobi,MID,0.06365716457366943,0.17321821674704552,2.15441375,3.8,6.2,0.5,1.05,2,1,0.5,?
Donny van de Beek,MID,0.02281918004155159,0.006191403139382601,2.15441375,8.25,5.2250000000000005,1.0,1.45,2,1,1.25,?
Bamidele Alli,MID,0.002483764896169305,0.0234379880130291,2.15441375,2.9000000000000004,4.1000000000000005,1.0,0.775,2,1,0.5,?
