name,pos,return_confidence
Bernd Leno,GK,0.506
Jason Steele,GK,0.506
Robert Sanchez,GK,0.506
Nick Pope,GK,0.506
Will Norris,GK,0.506
Wayne Hennessey,GK,0.506
Kepa Arrizabalaga,GK,0.506
Edouard Mendy,GK,0.506
Jordan Pickford,GK,0.506
Asmir Begovic,GK,0.506
Adria�n San Miguel del Castillo,GK,0.506
Alisson Ramses Becker,GK,0.506
Caoimhin Kelleher,GK,0.506
Ederson Santana de Moraes,GK,0.506
Zack Steffen,GK,0.506
Scott Carson,GK,0.506
Fraser Forster,GK,0.506
Willy Caballero,GK,0.506
Hugo Lloris,GK,0.506
Pierluigi Gollini,GK,0.506
Darren Randolph,GK,0.506
Lukasz Fabianski,GK,0.506
Alphonse Areola,GK,0.506
Ben White,DEF,0.645
Calum Chambers,DEF,0.562
Matthew Cash,DEF,0.556
Lewis Dunk,DEF,0.564
Antonio Rüdiger,DEF,0.577
Trevoh Chalobah,DEF,0.645
Luke Ayling,DEF,0.742
Joel Matip,DEF,0.716
Virgil van Dijk,DEF,0.645
Andrew Robertson,DEF,0.864
João Pedro Cavaco Cancelo,DEF,0.821
Aymeric Laporte,DEF,0.561
Kyle Walker-Peters,DEF,0.566
Matt Doherty,DEF,0.798
Eric Dier,DEF,0.645
Sergio Reguilón,DEF,0.864
Cristian Romero,DEF,0.645
Craig Dawson,DEF,0.526
Jonathan Castro Otto,DEF,0.649
Thomas Partey,MID,0.631
Bukayo Saka,MID,0.981
Gabriel Teodoro Martinelli Silva,MID,0.606
Martin Ødegaard,MID,0.795
Philippe Coutinho Correia,MID,0.981
Mason Mount,MID,0.765
Kai Havertz,MID,0.994
Wilfried Zaha,MID,0.981
Michael Olise,MID,0.559
Harvey Barnes,MID,0.903
Raphael Dias Belloli,MID,0.838
Jack Harrison,MID,0.769
Daniel James,MID,0.536
Sadio Mané,MID,0.994
Mohamed Salah,MID,0.996
Luis Díaz,MID,0.887
Ilkay Gündogan,MID,0.665
Kevin De Bruyne,MID,0.996
Riyad Mahrez,MID,0.949
Bernardo Mota Veiga de Carvalho e Silva,MID,0.947
Phil Foden,MID,0.804
Bruno Miguel Borges Fernandes,MID,0.884
Jadon Sancho,MID,0.952
Stuart Armstrong,MID,0.916
Mohamed Elyounoussi,MID,0.515
Heung-Min Son,MID,0.991
Dejan Kulusevski,MID,0.986
Daniel Castelo Podence,MID,0.858
Alexandre Lacazette,FWD,0.693
Ollie Watkins,FWD,0.847
Danny Ings,FWD,0.769
Ivan Toney,FWD,0.898
Jean-Philippe Mateta,FWD,0.519
Rodrigo Moreno,FWD,0.586
Cristiano Ronaldo dos Santos Aveiro,FWD,0.932
Teemu Pukki,FWD,0.898
Che Adams,FWD,0.896
Harry Kane,FWD,0.932
Juan Camilo Hernández Suárez,FWD,0.546
