name,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form
Jonjo Shelvey,FAIL,FAIL,FAIL,17.55,4.25,6.25,2.8249999999999997,9,0,3.75
Karl Darlow,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,0,0.0
Martin Dubravka,FAIL,FAIL,FAIL,22.799999999999997,0.0,0.0,2.275,9,0,5.75
Ryan Fraser,FAIL,FAIL,FAIL,12.749999999999998,23.65,29.75,6.574999999999999,9,0,5.25
Dwight Gayle,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,0,0.0
Paul Dummett,FAIL,FAIL,FAIL,6.05,0.475,0.0,0.6500000000000001,9,0,1.75
Emil Krafth,FAIL,FAIL,FAIL,0.55,2.625,0.0,0.325,9,0,0.25
Jacob Murphy,FAIL,FAIL,FAIL,0.0,0.175,1.0,0.05,9,0,0.5
Fabian Schär,FAIL,FAIL,FAIL,18.849999999999998,0.35,7.25,2.6499999999999995,9,0,4.25
Allan Saint-Maximin,FAIL,FAIL,FAIL,24.349999999999998,30.625,36.25,9.149999999999999,9,0,4.25
Miguel Almirón,FAIL,FAIL,FAIL,0.05,0.0,0.0,0.0,9,0,0.25
Sean Longstaff,FAIL,FAIL,FAIL,5.85,0.825,3.0,0.975,9,0,0.75
Joelinton Cássio Apolinário de Lira,FAIL,FAIL,FAIL,18.0,9.35,21.5,4.8500000000000005,9,0,1.5
Mark Gillespie,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,0,0.0
Bruno Guimarães Rodriguez Moura,FAIL,FAIL,FAIL,2.7,5.15,0.0,0.8,9,0,1.0
Lucas De Bolle,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,0,0.0
Billy Gilmour,0.006371332099661231,0.05648975074291229,1.8806117500000001,3.15,11.225,0.0,1.45,10,0,0.75
Brandon Williams,0.0,0.18639004603028297,1.8806117500000001,20.15,8.975,1.0,3.05,10,0,3.5
Michael McGovern,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Teemu Pukki,0.06613912805914879,0.1646813452243805,1.8806117500000001,15.100000000000001,7.1000000000000005,16.0,3.8,10,0,4.25
Kenny McLean,0.01675526751205325,0.010243154130876064,1.8806117500000001,5.8999999999999995,4.2,2.75,1.275,10,0,1.5
Grant Hanley,0.024382474832236767,0.0,1.8806117500000001,19.450000000000003,0.125,3.0,2.25,10,0,2.5
Sam Byram,0.01164631824940443,0.015623888000845909,1.8806117500000001,2.45,0.35000000000000003,0.5,0.32499999999999996,10,0,0.5
Kieran Dowell,0.019742220640182495,0.006820695474743843,1.8806117500000001,0.05,0.075,0.0,0.025,10,0,0.25
Christoph Zimmermann,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Max Aarons,0.01331418938934803,0.0,1.8806117500000001,9.35,1.0999999999999999,5.5,1.5499999999999998,10,0,2.5
Przemyslaw Placheta,FAIL,FAIL,FAIL,0.5,0.4,0.0,0.1,10,0,0.75
Angus Gunn,0.0,0.0,1.8806117500000001,30.25,0.0,0.0,3.0250000000000004,10,0,4.75
Milot Rashica,0.07000100333243608,0.06991864740848541,1.8806117500000001,13.4,29.799999999999997,13.25,5.675000000000001,10,0,3.0
Ben Gibson,0.020409373100847006,0.0,1.8806117500000001,19.950000000000003,0.1,5.75,2.575,10,0,2.5
Dimitris Giannoulis,0.0,0.0468175895512104,1.8806117500000001,1.25,0.0,0.0,0.125,10,0,0.25
Pierre Lees-Melou,0.015229564160108566,0.021665670443326235,1.8806117500000001,12.1,11.125,4.0,2.725,10,0,2.25
Joshua Sargent,0.2005829755216837,0.01327301561832428,1.8806117500000001,21.099999999999998,4.3500000000000005,26.5,5.175000000000001,10,0,4.75
Christos Tzolis,0.02482629893347621,0.04294202197343111,1.8806117500000001,1.05,5.075,0.5,0.675,10,0,0.25
Mathias Normann,0.005098291207104921,0.017366895452141762,1.8806117500000001,1.15,0.425,0.0,0.175,10,0,0.5
Jonathan Tomkinson,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Jonathan Rowe,0.0,0.02706773579120636,1.8806117500000001,0.0,0.025,0.0,0.0,10,0,0.25
Jon McCracken,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Liam Gibbs,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Theo Walcott,0.023683554027229548,0.0,2.1657925000000002,0.0,0.0,0.0,0.0,3,1,0.25
Fraser Forster,0.0,0.0,2.1657925000000002,29.6,0.0,0.0,2.95,3,1,2.25
Oriol Romeu Vidal,0.04536229348741472,0.118155213072896,2.1657925000000002,15.25,19.325,14.75,4.95,3,1,2.0
Jack Stephens,0.0,0.013529027812182903,2.1657925000000002,3.5,0.025,0.0,0.35,3,1,0.25
Stuart Armstrong,0.10404941067099571,0.06817091256380081,2.1657925000000002,9.2,12.975,18.25,4.050000000000001,3,1,1.5
James Ward-Prowse,0.04811427742242813,0.1035111895762384,2.1657925000000002,36.74999999999999,34.474999999999994,12.5,8.375,3,1,5.25
Kyle Walker-Peters,0.028636083006858826,0.12241096422076225,2.1657925000000002,17.799999999999997,8.05,11.25,3.7,3,1,2.75
Che Adams,0.21512792631983757,0.035871597006917,2.1657925000000002,19.55,8.899999999999999,26.0,5.425,3,1,4.75
William Smallbone,0.06670796126127243,0.05095229297876358,2.1657925000000002,0.0,0.0,0.0,0.0,3,1,0.0
Ibrahima Diallo,0.009126606397330761,0.0031575262546539307,2.1657925000000002,2.35,3.05,1.75,0.7250000000000001,3,1,1.0
Moussa Djenepo,0.035273346584290266,0.04268769081681967,2.1657925000000002,0.0,0.0,0.0,0.0,3,1,0.0
Mohammed Salisu,0.11898799543268979,0.03336751088500023,2.1657925000000002,27.15,6.6000000000000005,15.5,4.925,3,1,1.5
Romain Perraud,0.06971298204734921,0.03383797989226878,2.1657925000000002,11.45,8.0,12.25,3.175,3,1,2.0
Tino Livramento,0.0,0.0,2.1657925000000002,1.45,0.175,0.0,0.175,3,1,0.25
Armando Broja,0.33071721624583006,0.004542558453977108,2.1657925000000002,10.35,4.9750000000000005,34.25,4.95,3,1,3.0
Shane Long,0.052083324640989304,0.0,2.1657925000000002,0.3,0.15,0.0,0.05,3,1,0.25
Adam Armstrong,0.07143654581159353,0.0,2.1657925000000002,0.05,0.2,0.0,0.025,3,1,0.25
Yan Valery,0.013595256954431534,0.0,2.1657925000000002,0.0,0.0,0.0,0.0,3,1,0.0
Harry Lewis,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,1,0.0
Willy Caballero,0.0,0.0,2.1657925000000002,0.0,0.0,0.0,0.0,3,1,0.0
Thierry Small,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,1,0.0
Kgaogelo Chauke,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,3,1,0.0
Hugo Lloris,0.0,0.0,1.648905,31.900000000000002,0.0,0.0,3.175,10,0,2.0
Harry Kane,0.6311955759301782,0.24714266695082188,1.648905,22.549999999999997,17.4,63.75,10.375,10,0,4.25
Heung-Min Son,0.4183521270751953,0.39440547302365303,1.648905,14.1,15.899999999999999,19.75,4.975,10,0,2.25
Matt Doherty,0.3258008025586605,0.19613098353147507,1.648905,13.65,13.974999999999998,15.5,4.325,10,0,1.5
Lucas Rodrigues Moura da Silva,0.06594103435054421,0.2593344859778881,1.648905,10.950000000000001,19.4,11.25,4.15,10,0,2.25
Ben Davies,0.010946891270577908,0.02990935556590557,1.648905,18.2,9.850000000000001,3.5,3.15,10,0,1.0
Pierre-Emile Højbjerg,0.21555054001510143,0.03752414183691144,1.648905,10.350000000000001,9.15,10.5,3.0,10,0,2.0
Harry Winks,0.012620021123439074,0.21901106368750334,1.648905,17.65,23.9,3.75,4.550000000000001,10,0,2.75
Davinson Sánchez,0.040829289704561234,0.036539386957883835,1.648905,25.85,6.025,3.25,3.5250000000000004,10,0,0.5
Ryan Sessegnon,0.014288695529103279,0.0,1.648905,0.8,0.425,1.0,0.2,10,0,0.0
Steven Bergwijn,0.24315783008933067,0.013716332614421844,1.648905,18.45,4.3,17.0,3.9750000000000005,10,0,4.25
Sergio Reguilón,0.1749249454587698,0.2432346004061401,1.648905,10.8,19.0,21.5,5.125,10,0,0.5
Joe Rodon,0.0,0.0,1.648905,0.0,0.0,0.0,0.0,10,0,0.0
Pierluigi Gollini,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Cristian Romero,0.012062884867191315,0.0,1.648905,11.65,0.25,4.75,1.65,10,0,0.25
Dane Scarlett,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Emerson Aparecido Leite de Souza Junior,FAIL,FAIL,FAIL,3.3,3.825,13.25,2.0500000000000003,10,0,0.75
Tobi Omole,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Brandon Austin,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Harvey White,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,0,0.0
Dejan Kulusevski,0.05084898695349693,0.014772259630262852,1.648905,2.5999999999999996,16.2,12.0,3.0999999999999996,10,0,1.5
Rodrigo Bentancur,0.023293705889955163,0.03609549114480615,1.648905,9.1,16.3,11.0,3.6500000000000004,10,0,1.0
Moussa Sissoko,0.13014605175703764,0.05209969589486718,1.1002049999999999,14.6,22.049999999999997,3.25,4.0,5,0,2.25
Ben Foster,0.0,0.0,1.1002049999999999,11.45,0.0,0.0,1.15,5,0,2.5
Craig Cathcart,0.015798434615135193,0.004414807073771954,1.1002049999999999,12.4,0.325,5.0,1.775,5,0,2.25
Tom Cleverley,0.054059621412307024,0.015666164457798004,1.1002049999999999,6.25,9.999999999999998,6.5,2.275,5,0,1.25
Francisco Femenía Far,0.0,0.08115443214774132,1.1002049999999999,14.950000000000001,20.225,1.0,3.625,5,0,2.75
Christian Kabasele,0.104145847260952,0.013322591781616211,1.1002049999999999,5.0,2.575,0.5,0.8,5,0,0.25
William Troost-Ekong,0.0,0.0,1.1002049999999999,0.0,0.0,0.0,0.0,5,0,0.0
Daniel Bachmann,0.0,0.0,1.1002049999999999,0.5,0.0,0.0,0.05,5,0,0.25
Adam Masina,0.025447032880038023,0.04386041685938835,1.1002049999999999,0.0,0.0,0.0,0.0,5,0,0.0
Ken Sema,0.008038435131311417,0.004165589343756437,1.1002049999999999,3.3,1.525,2.0,0.675,5,0,1.0
Ashley Fletcher,0.14588460636635622,0.0,1.1002049999999999,0.0,0.0,0.0,0.0,5,0,0.0
Francisco Sierralta,0.008098075166344643,0.0,1.1002049999999999,0.0,0.0,0.0,0.0,5,0,0.0
Ismaila Sarr,0.28032591566443443,0.00873834639787674,1.1002049999999999,0.4,0.3,9.5,1.025,5,0,0.25
Jeremy Ngakia,0.006572364363819361,0.013319853693246841,1.1002049999999999,0.75,0.05,0.0,0.075,5,0,0.25
Imrân Louza,0.01374508161097765,0.03347940929234028,1.1002049999999999,1.5,0.475,2.5,0.45,5,0,0.25
João Pedro Junqueira de Jesus,0.19563071057200432,0.020383713068440557,1.1002049999999999,8.85,9.275,29.75,4.8,5,0,1.5
Emmanuel Dennis,0.10782216722145677,0.15512136137112975,1.1002049999999999,3.5500000000000003,7.7749999999999995,10.25,2.0999999999999996,5,0,0.5
Joshua King,0.0989238079637289,0.16897043772041798,1.1002049999999999,6.300000000000001,14.524999999999999,20.25,4.1,5,0,1.75
Juan Camilo Hernández Suárez,0.1274757762439549,0.013255195692181587,1.1002049999999999,0.95,3.05,16.0,2.0,5,0,0.5
Juraj Kucka,0.03727163467556238,0.13735191896557808,1.1002049999999999,10.7,14.525000000000002,4.5,2.9000000000000004,5,0,1.25
Robert Elliot,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,0,0.0
James Morris,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,0,0.0
Vincent Angelini,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,0,0.0
Hassane Kamara,0.002371049951761961,0.06233171187341213,1.1002049999999999,18.150000000000002,10.575,1.75,3.0500000000000003,5,0,3.0
Samir Caetano de Souza Santos,FAIL,FAIL,FAIL,19.05,0.3,5.25,2.4499999999999997,5,0,2.5
Edo Kayembe,0.0,0.013166971504688263,1.1002049999999999,8.0,8.325000000000001,0.0,1.625,5,0,2.0
Samuel Kalu,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,0,0.0
Mark Noble,0.3805844187736511,0.0,1.4424534999999998,0.0,0.0,0.0,0.0,2,1,0.0
Darren Randolph,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Lukasz Fabianski,0.0,0.0,1.4424534999999998,7.9,0.0,0.0,0.7749999999999999,2,1,2.0
Aaron Cresswell,0.02125777304172516,0.26816614530980587,1.4424534999999998,18.099999999999998,25.374999999999996,5.5,4.8999999999999995,2,1,4.0
Andriy Yarmolenko,0.04597397428005934,0.02601667307317257,1.4424534999999998,1.25,0.825,2.25,0.425,2,1,0.0
Michail Antonio,0.03490824997425079,0.02302095852792263,1.4424534999999998,8.899999999999999,9.375,15.75,3.4000000000000004,2,1,2.5
Craig Dawson,0.18136407434940338,0.0,1.4424534999999998,20.4,0.44999999999999996,16.5,3.75,2,1,4.0
Ryan Fredericks,0.0,0.0,1.4424534999999998,0.6499999999999999,0.07500000000000001,0.0,0.07500000000000001,2,1,0.5
Manuel Lanzini,0.0,0.030995810870081186,1.4424534999999998,14.2,12.475,4.5,3.125,2,1,2.25
Vladimir Coufal,0.030148157384246588,0.013218537904322147,1.4424534999999998,15.099999999999998,6.0,10.0,3.1,2,1,3.5
Saïd Benrahma,0.30278145521879196,0.20184891670942307,1.4424534999999998,0.6,0.275,13.75,1.475,2,1,0.5
Jarrod Bowen,0.4582574381493032,0.15694166533648968,1.4424534999999998,35.449999999999996,17.7,33.0,8.625,2,1,8.25
Declan Rice,0.05582245998084545,0.0,1.4424534999999998,14.900000000000002,4.35,9.0,2.85,2,1,1.75
Tomas Soucek,0.06211360730230808,0.07281991187483072,1.4424534999999998,8.649999999999999,9.5,20.5,3.875,2,1,1.75
Pablo Fornals,0.04920672066509724,0.07420585304498672,1.4424534999999998,17.7,16.35,15.5,4.95,2,1,3.75
Issa Diop,0.0,0.0729578360915184,1.4424534999999998,14.0,3.6,1.0,1.875,2,1,1.5
Ben Johnson,0.0,0.0,1.4424534999999998,0.0,0.0,0.0,0.0,2,1,0.0
Alphonse Areola,0.0,0.0,1.4424534999999998,5.1,0.0,0.0,0.5,2,1,0.5
Jamal Baptiste,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Nikola Vlasic,0.005994940642267466,0.015063537284731865,1.4424534999999998,0.5,0.35000000000000003,1.0,0.175,2,1,0.75
Alex Kral,0.030804350972175598,0.030272994190454483,1.4424534999999998,0.0,0.0,0.0,0.0,2,1,0.0
Harrison Ashby,0.0,0.0,1.4424534999999998,0.0,0.0,0.0,0.0,2,1,0.0
Sonny Perkins,0.0,0.0,1.4424534999999998,0.0,0.0,0.0,0.0,2,1,0.25
Ajibola Alese,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Armstrong Oko-Flex,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Pierre Ekwah,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,2,1,0.0
Conor Coady,FAIL,FAIL,FAIL,23.400000000000002,2.7,8.25,3.4750000000000005,5,1,4.75
Raúl Jiménez,FAIL,FAIL,FAIL,22.549999999999997,7.0,36.0,6.55,5,1,3.25
Romain Saïss,FAIL,FAIL,FAIL,10.100000000000001,3.1500000000000004,4.25,1.75,5,1,1.75
Fernando Marçal,FAIL,FAIL,FAIL,0.9,0.275,5.0,0.625,5,1,0.5
Jonathan Castro Otto,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0
Leander Dendoncker,FAIL,FAIL,FAIL,17.35,5.175000000000001,20.0,4.225,5,1,5.0
Rúben Diogo da Silva Neves,FAIL,FAIL,FAIL,23.75,5.825,9.75,3.9499999999999997,5,1,3.0
Nélson Cabral Semedo,FAIL,FAIL,FAIL,18.35,17.475,10.5,4.625,5,1,3.75
Daniel Castelo Podence,FAIL,FAIL,FAIL,11.45,28.05,19.75,5.925000000000001,5,1,2.0
Max Kilman,FAIL,FAIL,FAIL,26.200000000000003,1.5,2.5,3.0250000000000004,5,1,4.0
Ki-Jana Hoever,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0
Fabio Silva,FAIL,FAIL,FAIL,1.55,0.925,8.0,0.95,5,1,1.25
John Ruddy,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0
Francisco Machado Mota de Castro Trincão,FAIL,FAIL,FAIL,7.15,5.825,2.5,1.575,5,1,1.75
Rayan Ait Nouri,FAIL,FAIL,FAIL,18.25,13.325,3.0,3.4499999999999997,5,1,4.75
José Malheiro de Sá,FAIL,FAIL,FAIL,36.8,0.0,0.0,3.675,5,1,5.0
Luke Cundle,FAIL,FAIL,FAIL,1.3,3.65,0.0,0.5,5,1,1.0
Chem Campbell,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0
Hee-Chan Hwang,FAIL,FAIL,FAIL,0.05,0.5,0.0,0.05,5,1,0.25
James Storer,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0
Hugo Bueno,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,1,0.0
Toti António Gomes,FAIL,FAIL,FAIL,10.399999999999999,0.45,0.0,1.075,5,1,0.75
Francisco Jorge Tomás Oliveira,FAIL,FAIL,FAIL,1.5333333333333332,4.933333333333334,12.666666666666666,1.9000000000000001,5,1,0.3333333333333333
