name,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form
Christian Benteke,0.07519692182540894,0.0,1.48741775,0.5,0.0,0.0,0.05,9,1,0.5
Cheikhou Kouyaté,0.003067875513806939,0.0,1.48741775,0.0,0.0,0.0,0.0,9,1,0.0
Martin Kelly,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,1,0.0
Luka Milivojevic,0.017196988686919212,0.05165331996977329,1.48741775,1.9,0.05,0.0,0.2,9,1,0.25
Jordan Ayew,0.11244801804423332,0.29310861229896545,1.48741775,1.3,3.975,2.0,0.7250000000000001,9,1,1.0
Wilfried Zaha,0.2625293890014291,0.08694311697036028,1.48741775,12.3,5.2,19.5,3.7,9,1,2.25
Jeffrey Schlupp,0.04177548736333847,0.12277631461620331,1.48741775,14.749999999999998,8.375,10.75,3.4,9,1,2.75
Jack Butland,0.0,0.0,1.48741775,13.4,0.0,0.0,1.35,9,1,2.75
Jairo Riedewald,0.0,0.017874788492918015,1.48741775,0.0,0.0,0.0,0.0,9,1,0.0
Jarosław Jach,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,1,0.0
Jean-Philippe Mateta,0.08198799286037683,0.10178672522306442,1.48741775,7.8999999999999995,3.95,12.0,2.35,9,1,2.0
Eberechi Eze,0.010483071208000183,0.0184733085334301,1.48741775,2.05,3.6999999999999997,2.25,0.7999999999999999,9,1,1.0
Tyrick Mitchell,0.0,0.004643833264708519,1.48741775,16.65,4.9,0.5,2.225,9,1,2.75
Will Hughes,0.01583082415163517,0.011879580095410347,1.48741775,4.6,5.699999999999999,11.75,2.175,9,1,1.75
Michael Olise,0.02925509214401245,0.2429953943938017,1.48741775,12.35,19.525000000000002,8.5,4.05,9,1,3.25
Joel Ward,0.0,0.004870956763625145,1.48741775,14.900000000000002,5.025,0.5,2.0500000000000003,9,1,2.5
Marc Guéhi,0.0,0.0,1.48741775,14.45,2.075,1.0,1.75,9,1,2.75
Joachim Andersen,0.023456536699086428,0.030844911467283964,1.48741775,17.8,9.075,6.0,3.275,9,1,3.0
Nathaniel Clyne,0.0,0.0,1.48741775,0.0,0.0,0.0,0.0,9,1,0.0
Reece Hannam,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,1,0.0
Jesurun Rak-Sakyi,0.0,0.0,1.48741775,0.0,0.0,0.0,0.0,9,1,0.0
Scott Banks,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,1,0.0
Remi Matthews,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,9,1,0.0
Odsonne Edouard,0.12724944949150085,0.09179037064313889,1.48741775,13.15,6.7749999999999995,13.5,3.35,9,1,3.25
Anwar El Ghazi,0.007013970520347357,0.017482928931713104,1.19794075,0.55,0.2,1.0,0.175,6,0,0.25
Seamus Coleman,0.21362451231107116,0.020450654439628124,1.19794075,20.8,10.6,8.75,4.0,6,0,4.25
Michael Keane,0.027325750328600407,0.0,1.19794075,17.3,0.175,7.25,2.475,6,0,3.0
Jordan Pickford,0.0,0.009636253118515015,1.19794075,20.650000000000002,2.5,0.0,2.325,6,0,3.25
Allan Marques Loureiro,0.021379755809903145,0.031023030169308186,1.19794075,10.8,7.8,1.75,2.0500000000000003,6,0,1.0
André Filipe Tavares Gomes,0.012668362818658352,0.009404025040566921,1.19794075,5.75,4.525,4.5,1.5,6,0,0.5
Alex Iwobi,0.1752479486167431,0.05194561928510666,1.19794075,5.4,13.325,12.25,3.1,6,0,0.5
Dominic Calvert-Lewin,0.4173270808532834,0.03619043715298176,1.19794075,5.35,10.225,17.75,3.325,6,0,1.25
Mason Holgate,0.1234818696975708,0.0,1.19794075,6.55,0.22499999999999998,8.5,1.525,6,0,2.25
Richarlison de Andrade,0.13520589284598827,0.1817883402109146,1.19794075,18.7,13.3,36.25,6.825,6,0,4.0
Donny van de Beek,0.019259411841630936,0.004844602197408676,1.19794075,3.9000000000000004,4.35,2.5,1.1,6,0,1.0
Bamidele Alli,0.14656963851302862,0.2477597389370203,1.19794075,5.0,11.7,7.5,2.425,6,0,0.75
Asmir Begović,0.0,0.0,1.19794075,0.0,0.0,0.0,0.0,6,0,0.0
Andros Townsend,0.031105833128094673,0.11971679143607616,1.19794075,2.6500000000000004,4.425,6.0,1.325,6,0,0.75
Jonjoe Kenny,0.012163118924945593,0.08098513819277287,1.19794075,6.3,9.325,5.5,2.125,6,0,2.0
Anthony Gordon,0.18924203608185053,0.20883848425000906,1.19794075,26.4,29.924999999999997,31.5,8.774999999999999,6,0,4.75
