name,pos,prediction,confidence_score
Jan Bednarek,DEF,1:no,0.718
Mohammed Salisu,DEF,1:no,0.772
Romain Perraud,DEF,1:no,0.988
Tino Livramento,DEF,1:no,0.688
Yan Valery,DEF,1:no,0.984
Matt Doherty,DEF,1:no,0.509
Eric Dier,DEF,1:no,0.611
Ben Davies,DEF,2:return,0.562
Davinson Sánchez,DEF,1:no,0.999
Joe Rodon,DEF,1:no,0.999
Cristian Romero,DEF,2:return,0.562
Emerson Aparecido Leite de Souza Junior,DEF,1:no,0.611
Craig Cathcart,DEF,1:no,0.898
Francisco Femenía Far,DEF,1:no,0.772
Christian Kabasele,DEF,1:no,0.766
William Troost-Ekong,DEF,1:no,0.999
Adam Masina,DEF,1:no,1
Francisco Sierralta,DEF,1:no,0.999
Jeremy Ngakia,DEF,1:no,0.999
Hassane Kamara,DEF,1:no,0.64
Samir Caetano de Souza Santos,DEF,1:no,0.825
Kurt Zouma,DEF,1:no,0.556
Aaron Cresswell,DEF,2:return,0.542
Craig Dawson,DEF,1:no,0.561
Ryan Fredericks,DEF,1:no,0.898
Arthur Masuaku,DEF,1:no,0.999
Vladimir Coufal,DEF,1:no,0.999
Issa Diop,DEF,1:no,0.999
Harrison Ashby,DEF,1:no,0.999
Willy Boly,DEF,1:no,0.825
Conor Coady,DEF,1:no,0.619
Romain Saïss,DEF,1:no,0.825
Fernando Marçal,DEF,1:no,0.701
Jonathan Castro Otto,DEF,2:return,0.809
Nélson Cabral Semedo,DEF,1:no,0.999
Max Kilman,DEF,1:no,0.86
Rayan Ait Nouri,DEF,1:no,0.701
Toti António Gomes,DEF,1:no,0.999
Granit Xhaka,MID,1:no,0.849
Mohamed Naser El Sayed Elneny,MID,1:no,1
Emile Smith Rowe,MID,1:no,0.699
Bukayo Saka,MID,2:return,0.9
Gabriel Teodoro Martinelli Silva,MID,1:no,0.817
Albert Sambi Lokonga,MID,1:no,1
Martin Ødegaard,MID,1:no,0.755
Bertrand Traoré,MID,1:no,1
Morgan Sanson,MID,1:no,1
John McGinn,MID,1:no,0.743
Emiliano Buendía Stati,MID,1:no,0.919
Douglas Luiz Soares de Paulo,MID,1:no,0.997
Jacob Ramsey,MID,1:no,0.844
Leon Bailey,MID,1:no,0.998
Carney Chukwuemeka,MID,1:no,1
Tim Iroegbunam,MID,1:no,1
Philippe Coutinho Correia,MID,1:no,0.533
Christian Nørgaard,MID,1:no,0.986
Tariqe Fosu-Henry,MID,1:no,0.999
Sergi Canós,MID,1:no,0.958
Vitaly Janelt,MID,1:no,0.669
Saman Ghoddos,MID,1:no,1
Mathias Jensen,MID,1:no,0.999
Bryan Mbeumo,MID,2:return,0.904
Frank Onyeka,MID,1:no,1
Shandon Baptiste,MID,1:no,0.999
Yoane Wissa,MID,1:no,0.943
Christian Eriksen,MID,1:no,0.524
Adam Lallana,MID,1:no,1
Pascal Groß,MID,1:no,0.757
Solomon March,MID,1:no,0.818
Leandro Trossard,MID,1:no,0.771
Yves Bissouma,MID,1:no,1
Steven Alzate,MID,1:no,1
Alexis Mac Allister,MID,1:no,0.971
Enock Mwepu,MID,1:no,0.999
Jeremy Sarmiento,MID,1:no,1
Jack Cork,MID,1:no,1
Dale Stephens,MID,1:no,1
Ashley Westwood,MID,1:no,0.998
Josh Brownhill,MID,1:no,0.998
Dwight McNeil,MID,1:no,0.944
Aaron Lennon,MID,1:no,0.997
Maxwel Cornet,MID,1:no,0.999
Jorge Luiz Frello Filho,MID,1:no,0.991
Ross Barkley,MID,1:no,0.998
Mateo Kovacic,MID,1:no,0.998
Ngolo Kante,MID,1:no,0.893
Hakim Ziyech,MID,1:no,0.949
Ruben Loftus-Cheek,MID,1:no,0.999
Mason Mount,MID,2:return,0.888
Kai Havertz,MID,2:return,0.99
Saúl Ñíguez,MID,1:no,0.997
Conor Gallagher,MID,1:no,0.995
James McArthur,MID,1:no,1
Luka Milivojevic,MID,1:no,1
Wilfried Zaha,MID,2:return,0.966
Jeffrey Schlupp,MID,1:no,0.774
Jairo Riedewald,MID,1:no,1
Eberechi Eze,MID,1:no,1
Will Hughes,MID,1:no,1
Jesurun Rak-Sakyi,MID,1:no,1
Anwar El Ghazi,MID,1:no,1
Allan Marques Loureiro,MID,1:no,1
Abdoulaye Doucouré,MID,1:no,1
Alex Iwobi,MID,1:no,0.842
Bamidele Alli,MID,1:no,1
Demarai Gray,MID,1:no,0.97
Anthony Gordon,MID,1:no,0.992
Tyler Onyango,MID,1:no,1
Marc Albrighton,MID,1:no,0.978
Nampalys Mendy,MID,1:no,1
Youri Tielemans,MID,1:no,0.994
Ayoze Pérez,MID,1:no,1
James Maddison,MID,2:return,0.639
Hamza Choudhury,MID,1:no,1
Harvey Barnes,MID,2:return,0.515
Boubakary Soumaré,MID,1:no,1
Kiernan Dewsbury-Hall,MID,1:no,0.943
Ademola Lookman,MID,1:no,0.998
Mateusz Klich,MID,1:no,0.987
Stuart Dallas,MID,1:no,0.965
Kalvin Phillips,MID,1:no,1
Raphael Dias Belloli,MID,2:return,0.672
Jack Harrison,MID,2:return,0.895
Daniel James,MID,1:no,0.67
Crysencio Summerville,MID,1:no,1
Adam Forshaw,MID,1:no,0.989
Liam McCarron,MID,1:no,1
Stuart McKinstry,MID,1:no,1
James Milner,MID,1:no,1
Jordan Henderson,MID,1:no,0.985
Thiago Alcántara do Nascimento,MID,1:no,0.984
Alex Oxlade-Chamberlain,MID,1:no,0.999
Sadio Mané,MID,2:return,0.507
Fabio Henrique Tavares,MID,1:no,0.969
Mohamed Salah,MID,2:return,0.854
Takumi Minamino,MID,1:no,0.999
Naby Keita,MID,1:no,0.997
Diogo Jota,MID,1:no,0.626
Curtis Jones,MID,1:no,0.999
Harvey Elliott,MID,1:no,0.999
Tyler Morton,MID,1:no,1
Kaide Gordon,MID,1:no,0.999
Luis Díaz,MID,1:no,0.652
Jack Grealish,MID,1:no,0.652
Ilkay Gündogan,MID,1:no,0.736
Kevin De Bruyne,MID,2:return,0.992
Riyad Mahrez,MID,1:no,0.597
Raheem Sterling,MID,1:no,0.597
Bernardo Mota Veiga de Carvalho e Silva,MID,2:return,0.873
Phil Foden,MID,2:return,0.811
Rodrigo Hernandez,MID,1:no,0.941
Fernando Luiz Rosa,MID,1:no,0.999
James McAtee,MID,1:no,1
Nemanja Matic,MID,1:no,0.999
Paul Pogba,MID,1:no,0.927
Frederico Rodrigues de Paula Santos,MID,2:return,0.645
Jesse Lingard,MID,1:no,1
Bruno Miguel Borges Fernandes,MID,2:return,0.611
Marcus Rashford,MID,1:no,1
Scott McTominay,MID,1:no,0.999
Juan Mata,MID,1:no,1
Jadon Sancho,MID,1:no,0.538
Anthony Elanga,MID,1:no,0.944
Hannibal Mejbri,MID,1:no,1
Joseph Willock,MID,1:no,0.969
Jonjo Shelvey,MID,1:no,0.997
Ryan Fraser,MID,1:no,0.979
Jacob Murphy,MID,1:no,0.995
Miguel Almirón,MID,1:no,0.998
Sean Longstaff,MID,1:no,1
Billy Gilmour,MID,1:no,0.987
Kenny McLean,MID,1:no,0.915
Kieran Dowell,MID,1:no,1
Milot Rashica,MID,1:no,0.91
Pierre Lees-Melou,MID,1:no,1
Christos Tzolis,MID,1:no,0.999
Mathias Normann,MID,1:no,1
Jonathan Rowe,MID,1:no,0.993
Theo Walcott,MID,1:no,1
Oriol Romeu Vidal,MID,1:no,0.993
Nathan Redmond,MID,1:no,1
Stuart Armstrong,MID,1:no,0.618
James Ward-Prowse,MID,1:no,0.628
Nathan Tella,MID,1:no,1
William Smallbone,MID,1:no,1
Ibrahima Diallo,MID,1:no,1
Moussa Djenepo,MID,1:no,1
Mohamed Elyounoussi,MID,1:no,0.755
Heung-Min Son,MID,2:return,0.998
Lucas Rodrigues Moura da Silva,MID,1:no,0.999
Pierre-Emile Højbjerg,MID,1:no,0.891
Harry Winks,MID,1:no,1
Steven Bergwijn,MID,1:no,0.991
Dejan Kulusevski,MID,2:return,0.93
Rodrigo Bentancur,MID,1:no,0.533
Moussa Sissoko,MID,1:no,0.618
Dan Gosling,MID,1:no,1
Tom Cleverley,MID,1:no,0.998
Ken Sema,MID,1:no,1
Ismaila Sarr,MID,1:no,0.998
Imrân Louza,MID,1:no,0.965
Oghenekaro Peter Etebo,MID,1:no,1
Juraj Kucka,MID,1:no,0.951
Edo Kayembe,MID,1:no,1
Samuel Kalu,MID,1:no,1
Mark Noble,MID,1:no,0.999
Andriy Yarmolenko,MID,1:no,0.994
Manuel Lanzini,MID,1:no,0.988
Saïd Benrahma,MID,2:return,0.905
Jarrod Bowen,MID,1:no,0.834
Declan Rice,MID,1:no,0.999
Tomas Soucek,MID,1:no,0.979
Pablo Fornals,MID,2:return,0.611
Nikola Vlasic,MID,1:no,0.998
Alex Kral,MID,1:no,0.999
Sonny Perkins,MID,1:no,1
João Filipe Iria Santos Moutinho,MID,1:no,0.943
Leander Dendoncker,MID,1:no,0.996
Daniel Castelo Podence,MID,2:return,0.744
Pedro Lomba Neto,MID,1:no,0.998
Francisco Machado Mota de Castro Trincão,MID,1:no,0.739
Luke Cundle,MID,1:no,1
Alexandre Lacazette,FWD,1:no,0.633
Edward Nketiah,FWD,1:no,0.992
Ollie Watkins,FWD,2:return,0.685
Danny Ings,FWD,1:no,0.875
Ivan Toney,FWD,2:return,0.898
Neal Maupay,FWD,1:no,0.956
Danny Welbeck,FWD,1:no,0.8
Jay Rodriguez,FWD,1:no,0.998
Ashley Barnes,FWD,1:no,0.998
Lewis Richardson,FWD,1:no,0.998
Wout Weghorst,FWD,1:no,0.974
Timo Werner,FWD,1:no,0.955
Romelu Lukaku,FWD,1:no,0.998
Christian Benteke,FWD,1:no,0.998
Jordan Ayew,FWD,1:no,0.992
Jean-Philippe Mateta,FWD,2:return,0.72
Odsonne Edouard,FWD,1:no,0.992
Dominic Calvert-Lewin,FWD,1:no,0.987
Richarlison de Andrade,FWD,1:no,0.986
Salomón Rondón,FWD,1:no,0.995
Lewis Dobbin,FWD,1:no,0.999
Cenk Tosun,FWD,1:no,0.999
Kelechi Iheanacho,FWD,2:return,0.586
Patson Daka,FWD,1:no,0.998
Rodrigo Moreno,FWD,2:return,0.676
Sam Greenwood,FWD,1:no,0.971
Roberto Firmino,FWD,1:no,0.984
Divock Origi,FWD,1:no,0.999
