name,pos,prediction,confidence_score
Bernd Leno,GK,2:return,0.506
Emiliano Martínez,GK,1:no,0.621
Robin Olsen,GK,1:no,0.621
David Raya Martin,GK,1:no,0.621
Alvaro Fernandez,GK,1:no,0.621
Jonas Lassl,GK,1:no,0.621
Jason Steele,GK,2:return,0.506
Robert Sanchez,GK,2:return,0.506
Nick Pope,GK,1:no,0.621
Nick Pope,GK,2:return,0.506
Will Norris,GK,1:no,0.621
Will Norris,GK,2:return,0.506
Wayne Hennessey,GK,1:no,0.621
Wayne Hennessey,GK,2:return,0.506
Kepa Arrizabalaga,GK,2:return,0.506
Edouard Mendy,GK,2:return,0.506
Vicente Guaita,GK,1:no,0.621
Jack Butland,GK,1:no,0.621
Jordan Pickford,GK,1:no,0.621
Jordan Pickford,GK,2:return,0.506
Asmir Begovic,GK,1:no,0.621
Asmir Begovic,GK,2:return,0.506
Kasper Schmeichel,GK,1:no,0.621
Eldin Jakupovic,GK,1:no,0.621
Adria�n San Miguel del Castillo,GK,2:return,0.506
Alisson Ramses Becker,GK,2:return,0.506
Caoimhin Kelleher,GK,2:return,0.506
Ederson Santana de Moraes,GK,2:return,0.506
Zack Steffen,GK,2:return,0.506
Scott Carson,GK,2:return,0.506
David de Gea,GK,1:no,0.621
Dean Henderson,GK,1:no,0.621
Tom Heaton,GK,1:no,0.621
Karl Darlow,GK,1:no,0.621
Martin Dubravka,GK,1:no,0.621
Michael McGovern,GK,1:no,0.621
Tim Krul,GK,1:no,0.621
Angus Gunn,GK,1:no,0.621
Fraser Forster,GK,2:return,0.506
Willy Caballero,GK,2:return,0.506
Hugo Lloris,GK,2:return,0.506
Pierluigi Gollini,GK,2:return,0.506
Ben Foster,GK,1:no,0.621
Daniel Bachmann,GK,1:no,0.621
Darren Randolph,GK,2:return,0.506
Lukasz Fabianski,GK,2:return,0.506
Alphonse Areola,GK,2:return,0.506
John Ruddy,GK,1:no,0.621
Jose Malheiro de Sa,GK,1:no,0.621
Ben White,DEF,2:return,0.645
Calum Chambers,DEF,2:return,0.562
Matthew Cash,DEF,2:return,0.556
Lewis Dunk,DEF,2:return,0.564
Antonio Rüdiger,DEF,2:return,0.577
Trevoh Chalobah,DEF,2:return,0.645
Luke Ayling,DEF,2:return,0.742
Joel Matip,DEF,2:return,0.716
Virgil van Dijk,DEF,2:return,0.645
Andrew Robertson,DEF,2:return,0.864
João Pedro Cavaco Cancelo,DEF,2:return,0.821
Aymeric Laporte,DEF,2:return,0.561
Kyle Walker-Peters,DEF,2:return,0.566
Matt Doherty,DEF,2:return,0.798
Eric Dier,DEF,2:return,0.645
Sergio Reguilón,DEF,2:return,0.864
Cristian Romero,DEF,2:return,0.645
Craig Dawson,DEF,2:return,0.526
Jonathan Castro Otto,DEF,2:return,0.649
Granit Xhaka,MID,1:no,0.9
Mohamed Naser El Sayed Elneny,MID,1:no,1
Thomas Partey,MID,2:return,0.631
Nicolas Pépé,MID,1:no,1
Emile Smith Rowe,MID,1:no,0.977
Bukayo Saka,MID,2:return,0.981
Gabriel Teodoro Martinelli Silva,MID,2:return,0.606
Albert Sambi Lokonga,MID,1:no,1
Martin Ødegaard,MID,2:return,0.795
Bertrand Traoré,MID,1:no,1
Morgan Sanson,MID,1:no,1
John McGinn,MID,1:no,0.885
Emiliano Buendía Stati,MID,1:no,0.968
Douglas Luiz Soares de Paulo,MID,1:no,0.96
Jacob Ramsey,MID,1:no,0.844
Leon Bailey,MID,1:no,0.999
Carney Chukwuemeka,MID,1:no,1
Tim Iroegbunam,MID,1:no,1
Philippe Coutinho Correia,MID,2:return,0.981
Christian Nørgaard,MID,1:no,0.983
Tariqe Fosu-Henry,MID,1:no,0.999
Sergi Canós,MID,1:no,0.958
Vitaly Janelt,MID,1:no,0.992
Saman Ghoddos,MID,1:no,1
Mathias Jensen,MID,1:no,0.999
Bryan Mbeumo,MID,1:no,0.552
Frank Onyeka,MID,1:no,1
Shandon Baptiste,MID,1:no,0.999
Yoane Wissa,MID,1:no,0.943
Christian Eriksen,MID,1:no,0.935
Pascal Groß,MID,1:no,0.801
Solomon March,MID,1:no,0.927
Leandro Trossard,MID,1:no,0.85
Yves Bissouma,MID,1:no,1
Steven Alzate,MID,1:no,1
Alexis Mac Allister,MID,1:no,0.972
Jakub Moder,MID,1:no,0.998
Enock Mwepu,MID,1:no,0.998
Jeremy Sarmiento,MID,1:no,1
Jack Cork,MID,1:no,1
Jack Cork,MID,1:no,1
Dale Stephens,MID,1:no,1
Dale Stephens,MID,1:no,1
Ashley Westwood,MID,1:no,0.999
Ashley Westwood,MID,1:no,0.997
Josh Brownhill,MID,1:no,0.992
Josh Brownhill,MID,1:no,0.976
Dwight McNeil,MID,1:no,0.95
Dwight McNeil,MID,1:no,0.863
Aaron Lennon,MID,1:no,0.998
Aaron Lennon,MID,1:no,0.993
Maxwel Cornet,MID,1:no,0.997
Maxwel Cornet,MID,1:no,0.991
Jorge Luiz Frello Filho,MID,1:no,0.977
Ross Barkley,MID,1:no,0.996
Mateo Kovacic,MID,1:no,0.999
NGolo Kanté,MID,1:no,0.787
Hakim Ziyech,MID,1:no,0.746
Ruben Loftus-Cheek,MID,1:no,0.999
Christian Pulisic,MID,1:no,0.715
Mason Mount,MID,2:return,0.765
Kai Havertz,MID,2:return,0.994
Saúl Ñíguez,MID,1:no,0.995
Conor Gallagher,MID,1:no,0.928
Luka Milivojevic,MID,1:no,1
Wilfried Zaha,MID,2:return,0.981
Jeffrey Schlupp,MID,1:no,0.921
Jairo Riedewald,MID,1:no,1
Eberechi Eze,MID,1:no,1
Will Hughes,MID,1:no,1
Michael Olise,MID,2:return,0.559
Jesurun Rak-Sakyi,MID,1:no,1
Anwar El Ghazi,MID,1:no,1
Anwar El Ghazi,MID,1:no,1
André Filipe Tavares Gomes,MID,1:no,1
André Filipe Tavares Gomes,MID,1:no,1
Abdoulaye Doucouré,MID,1:no,0.998
Abdoulaye Doucouré,MID,1:no,0.997
Alex Iwobi,MID,1:no,0.936
Alex Iwobi,MID,1:no,0.893
Donny van de Beek,MID,1:no,1
Donny van de Beek,MID,1:no,0.999
Bamidele Alli,MID,1:no,1
Bamidele Alli,MID,1:no,1
Demarai Gray,MID,1:no,0.989
Demarai Gray,MID,1:no,0.981
Anthony Gordon,MID,1:no,0.953
Anthony Gordon,MID,1:no,0.92
Tyler Onyango,MID,1:no,1
Tyler Onyango,MID,1:no,1
Nampalys Mendy,MID,1:no,1
Youri Tielemans,MID,1:no,0.996
Ayoze Pérez,MID,1:no,1
James Maddison,MID,1:no,0.74
Hamza Choudhury,MID,1:no,1
Harvey Barnes,MID,2:return,0.903
Boubakary Soumaré,MID,1:no,1
Kiernan Dewsbury-Hall,MID,1:no,0.967
Ademola Lookman,MID,1:no,0.997
Mateusz Klich,MID,1:no,0.995
Stuart Dallas,MID,1:no,0.982
Kalvin Phillips,MID,1:no,1
Raphael Dias Belloli,MID,2:return,0.838
Jack Harrison,MID,2:return,0.769
Daniel James,MID,2:return,0.536
Crysencio Summerville,MID,1:no,1
Adam Forshaw,MID,1:no,0.999
Liam McCarron,MID,1:no,1
Stuart McKinstry,MID,1:no,1
James Milner,MID,1:no,0.999
Jordan Henderson,MID,1:no,0.876
Thiago Alcántara do Nascimento,MID,1:no,0.99
