name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Christian Pulisic,MID,0.312631607,0.107846664,0.67125375,15.65,6.45,18,4.025,4,1,4,?
Mason Mount,MID,0.262944954,0.272547785,0.67125375,16.8,21.225,15.75,5.275,4,1,4.75,?
Kai Havertz,MID,0.656414912,0.084673923,0.67125375,43.05,15.125,56.5,11.35,4,1,8.75,?
Saúl Ñíguez,MID,0.004466176,0.022167817,0.67125375,9.25,9.675,7.25,2.625,4,1,2,?
Conor Gallagher,MID,0.11777142,0.005741055,1.18155825,17.25,7.35,13.25,3.8,8,1,4.5,?
Luka Milivojevic,MID,0.027735762,0.016588187,1.18155825,4,0.425,2,0.625,8,1,0,?
Wilfried Zaha,MID,0.328056917,0.19028011,1.18155825,36.65,27.525,37.5,10.175,8,1,7,?
Jeffrey Schlupp,MID,0.167718351,0.034815426,1.18155825,17.35,5.875,11.75,3.475,8,1,4.5,?
Jairo Riedewald,MID,0,0.017874788,1.18155825,0,0,0,0,8,1,0,?
Eberechi Eze,MID,0.010483071,0.018473309,1.18155825,0,0,0,0,8,1,0,?
Will Hughes,MID,0.015830824,0.01187958,1.18155825,1.8,0.6,0.5,0.3,8,1,0.5,?
Michael Olise,MID,0.141669877,0.192069812,1.18155825,16.75,16.15,26.25,5.9,8,1,4,?
Jesurun Rak-Sakyi,MID,0,0,1.18155825,0,0,0,0,8,1,0,?
Anwar El Ghazi,MID,0.007013971,0.017482929,1.66179375,0,0.125,0,0.025,9,0,0.25,?
Anwar El Ghazi,MID,0.007013971,0.017482929,1.66179375,0,0.125,0,0.025,1,0,0.25,?
André Filipe Tavares Gomes,MID,0.006076192,0,1.66179375,0.5,0.025,0,0.05,9,0,0.25,?
André Filipe Tavares Gomes,MID,0.006076192,0,1.66179375,0.5,0.025,0,0.05,1,0,0.25,?
Abdoulaye Doucouré,MID,0.004251068,0.040327156,1.66179375,12.8,11,2.75,2.675,9,0,2.25,?
Abdoulaye Doucouré,MID,0.004251068,0.040327156,1.66179375,12.8,11,2.75,2.675,1,0,2.25,?
Alex Iwobi,MID,0.153825983,0.173218217,1.66179375,14,7.725,4.75,2.65,9,0,3,?
Alex Iwobi,MID,0.153825983,0.173218217,1.66179375,14,7.725,4.75,2.65,1,0,3,?
Donny van de Beek,MID,0.02281918,0.006191403,1.66179375,8.25,5.225,1,1.45,9,0,1.25,?
Donny van de Beek,MID,0.02281918,0.006191403,1.66179375,8.25,5.225,1,1.45,1,0,1.25,?
Bamidele Alli,MID,0.002483765,0.023437988,1.66179375,2.9,4.1,1,0.775,9,0,0.5,?
Bamidele Alli,MID,0.002483765,0.023437988,1.66179375,2.9,4.1,1,0.775,1,0,0.5,?
Demarai Gray,MID,0.062737679,0.052099488,1.66179375,2.35,10.1,12.25,2.45,9,0,1.5,?
Demarai Gray,MID,0.062737679,0.052099488,1.66179375,2.35,10.1,12.25,2.45,1,0,1.5,?
Anthony Gordon,MID,0.07589457,0.046957454,1.66179375,10.35,16.2,11.5,3.8,9,0,2.25,?
Anthony Gordon,MID,0.07589457,0.046957454,1.66179375,10.35,16.2,11.5,3.8,1,0,2.25,?
