name,pos,return_confidence
Bernd Leno,GK,0.532
Aaron Ramsdale,GK,0.51
Emiliano MartÃ­nez,GK,0.502
Robin Olsen,GK,0.57
Alvaro Fernandes,GK,0.536
Jonas LÃ¶ssl,GK,0.536
Jason Steele,GK,0.563
Robert SÃ¡nchez,GK,0.518
Nick Pope,GK,0.649
Will Norris,GK,0.669
Wayne Hennessey,GK,0.992
Kepa Arrizabalaga,GK,0.587
Edouard Mendy,GK,0.513
Vicente Guaita,GK,0.558
Jack Butland,GK,0.584
Jordan Pickford,GK,0.532
Kasper Schmeichel,GK,0.541
Eldin Jakupovic,GK,0.632
Illan Meslier,GK,0.654
AdriÃ¡n San Miguel del Castillo,GK,0.512
Alisson Ramses Becker,GK,0.508
Caoimhin Kelleher,GK,0.512
David de Gea,GK,0.596
Dean Henderson,GK,0.648
Tom Heaton,GK,0.648
Karl Darlow,GK,0.58
Martin Dubravka,GK,0.541
Michael McGovern,GK,0.68
Tim Krul,GK,1
Angus Gunn,GK,0.68
Fraser Forster,GK,0.521
Willy Caballero,GK,0.548
Hugo Lloris,GK,0.52
Pierluigi Gollini,GK,0.593
Ben Foster,GK,0.621
Daniel Bachmann,GK,0.649
Darren Randolph,GK,0.631
Lukasz Fabianski,GK,0.589
Alphonse Areola,GK,0.631
John Ruddy,GK,0.666
JosÃ© Malheiro de SÃ¡,GK,0.6
Gabriel MagalhÃ£es,DEF,0.562
Matthew Cash,DEF,0.64
Lewis Dunk,DEF,0.572
Antonio RÃ¼diger,DEF,0.562
Reece James,DEF,0.64
Trevoh Chalobah,DEF,0.562
Joachim Andersen,DEF,0.556
Luke Ayling,DEF,0.627
Andrew Robertson,DEF,0.513
Trent Alexander-Arnold,DEF,0.545
JoÃ£o Pedro Cavaco Cancelo,DEF,0.513
Alex Nicolao Telles,DEF,0.649
Ben Davies,DEF,0.562
Cristian Romero,DEF,0.562
Aaron Cresswell,DEF,0.542
Jonathan Castro Otto,DEF,0.809
Bukayo Saka,MID,0.9
Bryan Mbeumo,MID,0.904
Mason Mount,MID,0.888
Kai Havertz,MID,0.99
Wilfried Zaha,MID,0.966
James Maddison,MID,0.639
Harvey Barnes,MID,0.515
Raphael Dias Belloli,MID,0.672
Jack Harrison,MID,0.895
Sadio ManÃ©,MID,0.507
Mohamed Salah,MID,0.854
Kevin De Bruyne,MID,0.992
Bernardo Mota Veiga de Carvalho e Silva,MID,0.873
Phil Foden,MID,0.811
Frederico Rodrigues de Paula Santos,MID,0.645
Bruno Miguel Borges Fernandes,MID,0.611
Heung-Min Son,MID,0.998
Dejan Kulusevski,MID,0.93
SaÃ¯d Benrahma,MID,0.905
Pablo Fornals,MID,0.611
Daniel Castelo Podence,MID,0.744
Ollie Watkins,FWD,0.685
Ivan Toney,FWD,0.898
Jean-Philippe Mateta,FWD,0.72
Kelechi Iheanacho,FWD,0.586
Rodrigo Moreno,FWD,0.676
Teemu Pukki,FWD,0.898
Harry Kane,FWD,0.932
Juan Camilo HernÃ¡ndez SuÃ¡rez,FWD,0.857
